Species,Min. elevation [m a.s.l.],Max. elevation [m a.s.l.],Range extent [m],Source,Source detail,CCSM4 VD [m],HadGEM2-ES VD [m],MIROC 5 VD [m],MRI-CGCM VD [m],NorESM VD [m]
Abuta_grandifolia,250,500,250,BRAKO,,611.6754593,676.0833644,563.3837904,474.877584,531.2083577
Alchornea_latifolia,250,500,250,BRAKO,,611.6754593,676.0833644,563.3837904,474.877584,531.2083577
Alchornea_triplinervia,250,2500,2250,BRAKO,,583.7556255,680.6816894,535.328897,486.9916056,532.6940144
Allophylus_punctatus,250,2500,2250,BRAKO,,583.7556255,680.6816894,535.328897,486.9916056,532.6940144
Alnus_acuminata,250,3750,3500,BRAKO,,579.8742532,687.6697325,531.3979787,493.7758549,533.2390194
Aniba_guianensis,250,500,250,BRAKO,,611.6754593,676.0833644,563.3837904,474.877584,531.2083577
Anthurium_croatii,250,1500,1250,BRAKO,,592.4506684,677.1570721,544.0833844,479.6683836,532.0401242
Anthurium_obtusum,250,2500,2250,BRAKO,,583.7556255,680.6816894,535.328897,486.9916056,532.6940144
Ardisia_guianensis,250,1000,750,TROPICOS,"Catalogue of the Vascular Plants of the Department of Antioquia (Colombia), Bolivia Catalogue, Catalogue Vascular Plants Ecuador",601.1929367,670.9939424,552.8810493,472.3869898,531.4307609
Ardisia_loretensis,250,1000,750,BRAKO,,601.1929367,670.9939424,552.8810493,472.3869898,531.4307609
Bactris_hirta,250,500,250,BRAKO,,611.6754593,676.0833644,563.3837904,474.877584,531.2083577
Banara_arguta,250,500,250,BRAKO,,611.6754593,676.0833644,563.3837904,474.877584,531.2083577
Bejaria_aestuans,500,3000,2500,BRAKO,,576.4274899,686.9100551,527.9415139,495.6626831,533.3457362
Besleria_compta,250,500,250,BRAKO,,611.6754593,676.0833644,563.3837904,474.877584,531.2083577
Bocconia_integrifolia,1500,3750,2250,BRAKO,,569.2149115,696.0076276,520.6564434,504.4702874,534.1431487
Bomarea_edulis,250,3000,2750,BRAKO,,583.6593029,685.2493058,535.2092336,491.4634546,532.9507628
Brachyotum_grisebachii,2000,3750,1750,BRAKO,,569.8131211,696.0798609,521.2496542,505.0618319,534.1981355
Brachyotum_weberbaueri,2500,3500,1000,BRAKO,,572.0161837,701.5287053,523.4489881,507.2599229,534.2391517
Brosimum_utile,250,500,250,BRAKO,,611.6754593,676.0833644,563.3837904,474.877584,531.2083577
Brunellia_stenoptera,2000,2500,500,BRAKO,,566.3655398,687.730924,517.8199221,501.6380495,534.0017946
Cabralea_canjerana,250,2500,2250,BRAKO,,583.7556255,680.6816894,535.328897,486.9916056,532.6940144
Calatola_costaricensis,250,2500,2250,BRAKO,,583.7556255,680.6816894,535.328897,486.9916056,532.6940144
Calyptranthes_ruiziana,250,500,250,BRAKO,,611.6754593,676.0833644,563.3837904,474.877584,531.2083577
Calyptranthes_speciosa,250,1000,750,BRAKO,,601.1929367,670.9939424,552.8810493,472.3869898,531.4307609
Caryocar_amygdaliforme,250,1000,750,BRAKO,,601.1929367,670.9939424,552.8810493,472.3869898,531.4307609
Caryocar_glabrum,250,1000,750,BRAKO,,601.1929367,670.9939424,552.8810493,472.3869898,531.4307609
Casearia_combaymensis,250,2000,1750,BRAKO,,587.2148823,677.6308747,538.8135395,484.0457004,532.4147699
Casearia_corymbosa,250,1500,1250,BRAKO,,592.4506684,677.1570721,544.0833844,479.6683836,532.0401242
Casearia_obovalis,250,1000,750,BRAKO,,601.1929367,670.9939424,552.8810493,472.3869898,531.4307609
Casearia_ulmifolia,250,500,250,BRAKO,,611.6754593,676.0833644,563.3837904,474.877584,531.2083577
Cavendishia_bracteata,250,3000,2750,BRAKO,,583.6593029,685.2493058,535.2092336,491.4634546,532.9507628
Cayaponia_citrullifolia,250,2500,2250,BRAKO,,583.7556255,680.6816894,535.328897,486.9916056,532.6940144
Cecropia_angustifolia,250,2500,2250,BRAKO,,583.7556255,680.6816894,535.328897,486.9916056,532.6940144
Cecropia_polystachya,250,1500,1250,BRAKO,,592.4506684,677.1570721,544.0833844,479.6683836,532.0401242
Cecropia_strigosa,250,2500,2250,BRAKO,,583.7556255,680.6816894,535.328897,486.9916056,532.6940144
Celtis_iguanaea,250,3000,2750,BRAKO,,583.6593029,685.2493058,535.2092336,491.4634546,532.9507628
Cestrum_parqui,1500,3500,2000,BRAKO,,569.7088305,695.9517324,521.1543028,504.9694602,534.0998044
Cestrum_reflexum,250,1000,750,BRAKO,,601.1929367,670.9939424,552.8810493,472.3869898,531.4307609
Chamaedorea_pauciflora,250,1500,1250,BRAKO,,592.4506684,677.1570721,544.0833844,479.6683836,532.0401242
Chamaedorea_pinnatifrons,250,2500,2250,BRAKO,,583.7556255,680.6816894,535.328897,486.9916056,532.6940144
Chrysochlamys_ulei,250,500,250,BRAKO,,611.6754593,676.0833644,563.3837904,474.877584,531.2083577
Chrysochlamys_weberbaueri,250,1500,1250,BRAKO,,592.4506684,677.1570721,544.0833844,479.6683836,532.0401242
Chrysophyllum_argenteum,250,2000,1750,BRAKO,,587.2148823,677.6308747,538.8135395,484.0457004,532.4147699
Chrysophyllum_ulei,250,500,250,BRAKO,,611.6754593,676.0833644,563.3837904,474.877584,531.2083577
Cissus_alata,250,1000,750,BRAKO,,601.1929367,670.9939424,552.8810493,472.3869898,531.4307609
Clavija_elliptica,250,500,250,BRAKO,,611.6754593,676.0833644,563.3837904,474.877584,531.2083577
Clethra_revoluta,500,3500,3000,TROPICOS,"Checklist Peru, Catalogo Peru",575.0103974,688.2079542,526.5141586,496.5343125,533.4586261
Clidemia_capitellata,250,500,250,BRAKO,,611.6754593,676.0833644,563.3837904,474.877584,531.2083577
Clidemia_dentata,250,1000,750,BRAKO,,601.1929367,670.9939424,552.8810493,472.3869898,531.4307609
Clidemia_dimorphica,250,1000,750,BRAKO,,601.1929367,670.9939424,552.8810493,472.3869898,531.4307609
Clidemia_hirta,250,1000,750,BRAKO,,601.1929367,670.9939424,552.8810493,472.3869898,531.4307609
Clidemia_septuplinervia,250,500,250,BRAKO,,611.6754593,676.0833644,563.3837904,474.877584,531.2083577
Clusia_alata,500,3000,2500,BRAKO,,576.4274899,686.9100551,527.9415139,495.6626831,533.3457362
Clusia_elliptica,2500,3500,1000,BRAKO,,572.0161837,701.5287053,523.4489881,507.2599229,534.2391517
Clusia_flavida,250,2000,1750,BRAKO,,587.2148823,677.6308747,538.8135395,484.0457004,532.4147699
Clusia_hammeliana,250,1500,1250,BRAKO,,592.4506684,677.1570721,544.0833844,479.6683836,532.0401242
Clusia_trochiformis,1000,2000,1000,BRAKO,,570.9078309,678.6625482,522.4333723,490.157778,533.2190447
Coccocypselum_hirsutum,1000,1500,500,BRAKO,,573.2258775,678.2307798,524.7829784,484.4591832,532.8718907
Collaea_speciosa,500,3500,3000,BRAKO,,575.0103974,688.2079542,526.5141586,496.5343125,533.4586261
Conceveiba_terminalis,250,500,250,BRAKO,,611.6754593,676.0833644,563.3837904,474.877584,531.2083577
Condaminea_corymbosa,500,2000,1500,BRAKO,,577.2560576,678.2173908,528.8130366,488.4901047,532.8732318
Conostegia_inusitata,500,1500,1000,BRAKO,,580.9174977,677.7811595,532.5059954,484.1351504,532.5265249
Cordia_nodosa,250,1000,750,BRAKO,,601.1929367,670.9939424,552.8810493,472.3869898,531.4307609
Croton_pachypodus,250,1000,750,BRAKO,,601.1929367,670.9939424,552.8810493,472.3869898,531.4307609
Croton_rusbyi,500,2000,1500,BRAKO,,577.2560576,678.2173908,528.8130366,488.4901047,532.8732318
Cybianthus_venezuelanus,250,1000,750,BRAKO,,601.1929367,670.9939424,552.8810493,472.3869898,531.4307609
Demosthenesia_mandonii,2000,3750,1750,BRAKO,,569.8131211,696.0798609,521.2496542,505.0618319,534.1981355
Dendropanax_cuneatus,250,500,250,BRAKO,,611.6754593,676.0833644,563.3837904,474.877584,531.2083577
Dendrophthora_chrysostachya,1500,3750,2250,BRAKO,,569.2149115,696.0076276,520.6564434,504.4702874,534.1431487
Dendrophthora_densifolia,2000,3750,1750,BRAKO,,569.8131211,696.0798609,521.2496542,505.0618319,534.1981355
Dendrophthora_paucifolia,1000,3000,2000,BRAKO,,572.4528403,688.9156824,523.9394108,498.0978028,533.6477248
Desfontainia_spinosa,2500,3750,1250,BRAKO,,570.6984669,700.2183048,522.1285277,505.938548,534.2693313
Diogenesia_vargasiana,2500,3000,500,BRAKO,,574.7703546,704.2953837,526.1984687,510.00784,534.290745
Dioicodendron_dioicum,2000,3750,1750,BRAKO,,569.8131211,696.0798609,521.2496542,505.0618319,534.1981355
Disterigma_alaternoides,2000,3750,1750,BRAKO,,569.8131211,696.0798609,521.2496542,505.0618319,534.1981355
Disterigma_ovatum,2500,3500,1000,BRAKO,,572.0161837,701.5287053,523.4489881,507.2599229,534.2391517
Elaeagia_mariae,250,2500,2250,BRAKO,,583.7556255,680.6816894,535.328897,486.9916056,532.6940144
Euterpe_precatoria,250,2000,1750,BRAKO,,587.2148823,677.6308747,538.8135395,484.0457004,532.4147699
Faramea_capillipes,250,1000,750,BRAKO,,601.1929367,670.9939424,552.8810493,472.3869898,531.4307609
Faramea_flavicans,2000,3000,1000,BRAKO,,571.9374822,696.0389508,523.3770324,507.1902159,534.1649475
Faramea_glandulosa,250,500,250,BRAKO,,611.6754593,676.0833644,563.3837904,474.877584,531.2083577
Faramea_multiflora,250,1500,1250,BRAKO,,592.4506684,677.1570721,544.0833844,479.6683836,532.0401242
Faramea_uniflora,250,1000,750,BRAKO,,601.1929367,670.9939424,552.8810493,472.3869898,531.4307609
Ficus_americana,250,2000,1750,BRAKO,,587.2148823,677.6308747,538.8135395,484.0457004,532.4147699
Ficus_coerulescens,250,2000,1750,BRAKO,,587.2148823,677.6308747,538.8135395,484.0457004,532.4147699
Ficus_paraensis,250,1500,1250,BRAKO,,592.4506684,677.1570721,544.0833844,479.6683836,532.0401242
Ficus_piresiana,250,500,250,BRAKO,,611.6754593,676.0833644,563.3837904,474.877584,531.2083577
Ficus_trigona,250,2000,1750,BRAKO,,587.2148823,677.6308747,538.8135395,484.0457004,532.4147699
Freziera_angulosa,250,1500,1250,BRAKO,,592.4506684,677.1570721,544.0833844,479.6683836,532.0401242
Freziera_karsteniana,1000,2000,1000,BRAKO,,570.9078309,678.6625482,522.4333723,490.157778,533.2190447
