Species,Min. elevation [m a.s.l.],Max. elevation [m a.s.l.],Range extent [m],,CCSM4 VD [m],HadGEM2-ES VD [m],MIROC 5 VD [m],MRI-CGCM VD [m],NorESM VD [m]
Aburria_aburri,1000,1500,500,,573.2258775,678.2307798,524.782978,484.459183,532.8718907
Amazona_farinosa,250,1000,750,,601.1929367,670.9939424,552.881049,472.38699,531.4307609
Amazona_mercenaria,1000,3000,2000,,572.4528403,688.9156824,523.939411,498.097803,533.6477248
Amazona_ochrocephala,250,500,250,,611.6754593,676.0833644,563.38379,474.877584,531.2083577
Ampelioides_tschudii,1000,1000,0,,580.2278914,660.8150985,531.875567,467.405801,531.8755671
Ampelion_rufaxilla,2000,2500,500,,566.3655398,687.730924,517.819922,501.63805,534.0017946
Andigena_hypoglauca,1500,3500,2000,,569.7088305,695.9517324,521.154303,504.96946,534.0998044
Anisognathus_igniventris,3000,3500,500,,574.7946045,704.3251764,526.22064,510.029319,534.3136092
Anisognathus_somptuosus,1500,3000,1500,,570.5090776,695.9408284,521.955372,505.770803,534.0907642
Ara_ararauna,250,1000,750,,601.1929367,670.9939424,552.881049,472.38699,531.4307609
Ara_chloropterus,250,1000,750,,601.1929367,670.9939424,552.881049,472.38699,531.4307609
Ara_macao,250,1000,750,,601.1929367,670.9939424,552.881049,472.38699,531.4307609
Ara_militaris,1000,1500,500,,573.2258775,678.2307798,524.782978,484.459183,532.8718907
Ara_severus,250,1000,750,,601.1929367,670.9939424,552.881049,472.38699,531.4307609
Aratinga_mitrata,2000,3000,1000,,571.9374822,696.0389508,523.377032,507.190216,534.1649475
Aratinga_weddellii,250,500,250,,611.6754593,676.0833644,563.38379,474.877584,531.2083577
Aulacorhynchus_coeruleicinctis,1500,2500,1000,,566.3183144,690.3694364,517.776745,501.596221,533.9572679
Aulacorhynchus_derbianus,1000,1500,500,,573.2258775,678.2307798,524.782978,484.459183,532.8718907
Aulacorhynchus_prasinus,250,1500,1250,,592.4506684,677.1570721,544.083384,479.668384,532.0401242
Bolborhynchus_lineola,1500,3000,1500,,570.5090776,695.9408284,521.955372,505.770803,534.0907642
Bolborhynchus_orbygnesius,2500,3500,1000,,572.0161837,701.5287053,523.448988,507.259923,534.2391517
Brotogeris_cyanoptera,250,500,250,,611.6754593,676.0833644,563.38379,474.877584,531.2083577
Brotogeris_sanctithomae,250,500,250,,611.6754593,676.0833644,563.38379,474.877584,531.2083577
Buthraupis_montana,2500,3000,500,,574.7703546,704.2953837,526.198469,510.00784,534.290745
Cacicus_cela,250,1000,750,,601.1929367,670.9939424,552.881049,472.38699,531.4307609
Cacicus_chrysonotus,2500,3000,500,,574.7703546,704.2953837,526.198469,510.00784,534.290745
Cacicus_haemorrhous,250,1000,750,,601.1929367,670.9939424,552.881049,472.38699,531.4307609
Capito_auratus,250,1000,750,,601.1929367,670.9939424,552.881049,472.38699,531.4307609
Catamblyrhynchus_diadema,2000,3000,1000,,571.9374822,696.0389508,523.377032,507.190216,534.1649475
Catharus_fuscater,1500,2500,1000,,566.3183144,690.3694364,517.776745,501.596221,533.9572679
Catharus_ustulatus,250,3500,3250,,581.5153703,686.5925612,533.051833,492.751034,533.0989131
Celeus_elegans,250,500,250,,611.6754593,676.0833644,563.38379,474.877584,531.2083577
Celeus_flavus,250,500,250,,611.6754593,676.0833644,563.38379,474.877584,531.2083577
Celeus_grammicus,250,1000,750,,601.1929367,670.9939424,552.881049,472.38699,531.4307609
Celeus_spectabilis,250,500,250,,611.6754593,676.0833644,563.38379,474.877584,531.2083577
Celeus_torquatus,250,500,250,,611.6754593,676.0833644,563.38379,474.877584,531.2083577
Cephalopterus_ornatus,250,1500,1250,,592.4506684,677.1570721,544.083384,479.668384,532.0401242
Chiroxiphia_boliviana,1000,2000,1000,,570.9078309,678.6625482,522.433372,490.157778,533.2190447
Chiroxiphia_pareola,250,500,250,,611.6754593,676.0833644,563.38379,474.877584,531.2083577
Chlorochrysa_calliparaea,1000,2000,1000,,570.9078309,678.6625482,522.433372,490.157778,533.2190447
Chlorophanes_spiza,250,1000,750,,601.1929367,670.9939424,552.881049,472.38699,531.4307609
Chlorophonia_cyanea,250,2000,1750,,587.2148823,677.6308747,538.81354,484.0457,532.4147699
Chlorornis_riefferii,2500,3000,500,,574.7703546,704.2953837,526.198469,510.00784,534.290745
Chlorospingus_canigularis,1000,1500,500,,573.2258775,678.2307798,524.782978,484.459183,532.8718907
Chlorospingus_flavigularis,1000,2000,1000,,570.9078309,678.6625482,522.433372,490.157778,533.2190447
Chlorospingus_ophthalmicus,1000,2500,1500,,569.7957087,682.9808519,521.30145,493.048616,533.4368427
Chlorospingus_parvirostris,1500,2500,1000,,566.3183144,690.3694364,517.776745,501.596221,533.9572679
Claravis_mondetoura,2000,2500,500,,566.3655398,687.730924,517.819922,501.63805,534.0017946
Colaptes_rubiginosus,1000,2000,1000,,570.9078309,678.6625482,522.433372,490.157778,533.2190447
Conioptilon_mcilhennyi,250,250,0,,627.0501807,675.28481,578.815551,466.268083,530.5809221
Conirostrum_cinereum,3000,3500,500,,574.7946045,704.3251764,526.22064,510.029319,534.3136092
Conirostrum_speciosum,250,500,250,,611.6754593,676.0833644,563.38379,474.877584,531.2083577
Cotinga_cayana,250,500,250,,611.6754593,676.0833644,563.38379,474.877584,531.2083577
Cotinga_maynana,250,1000,750,,601.1929367,670.9939424,552.881049,472.38699,531.4307609
