Species,Kingdom,Phylum,Class,Order,Family,Genus,Species,Fruit length [mm],Fruit width [mm],Plant height [m],Crop mass [g],Genus mean
Abuta_grandifolia,Plantae,Magnoliophyta,Magnoliopsida,Ranunculales,Menispermaceae,Abuta,grandifolia,17.48,9.38,6.00,341.25,no
Alchornea_latifolia,Plantae,Magnoliophyta,Magnoliopsida,Malpighiales,Euphorbiaceae,Alchornea,latifolia,6.82,8.23,11.53,1290.48,yes
Alchornea_triplinervia,Plantae,Magnoliophyta,Magnoliopsida,Malpighiales,Euphorbiaceae,Alchornea,triplinervia,8.18,10.26,14.72,1156.67,no
Allophylus_punctatus,Plantae,Magnoliophyta,Magnoliopsida,Sapindales,Sapindaceae,Allophylus,punctatus,13.58,12.49,4.40,33.34,no
Alnus_acuminata,Plantae,Magnoliophyta,Magnoliopsida,Fagales,Betulaceae,Alnus,acuminata,19.32,11.48,17.54,5009.33,no
Aniba_guianensis,Plantae,Magnoliophyta,Magnoliopsida,Laurales,Lauraceae,Aniba,guianensis,15.65,13.43,8.00,25.50,no
Anthurium_croatii,Plantae,Magnoliophyta,Liliopsida,Alismatales,Araceae,Anthurium,croatii,288.20,16.20,5.00,22440.00,no
Anthurium_obtusum,Plantae,Magnoliophyta,Liliopsida,Alismatales,Araceae,Anthurium,obtusum,2.66,2.86,5.00,0.83,no
Ardisia_guianensis,Plantae,Magnoliophyta,Magnoliopsida,Ericales,Primulaceae,Ardisia,guianensis,4.78,6.31,4.17,327.59,no
Ardisia_loretensis,Plantae,Magnoliophyta,Magnoliopsida,Ericales,Primulaceae,Ardisia,loretensis,8.84,9.13,1.01,6.92,no
Bactris_hirta,Plantae,Magnoliophyta,Liliopsida,Arecales,Arecaceae,Bactris,hirta,8.27,6.91,1.22,2.63,no
Banara_arguta,Plantae,Magnoliophyta,Magnoliopsida,Malpighiales,Salicaceae,Banara,arguta,8.93,9.02,5.20,241.54,no
Bejaria_aestuans,Plantae,Magnoliophyta,Magnoliopsida,Ericales,Ericaceae,Bejaria,aestuans,6.27,7.22,3.07,48.99,no
Besleria_compta,Plantae,Magnoliophyta,Magnoliopsida,Lamiales,Gesneriaceae,Besleria,compta,11.29,7.30,1.40,6.20,no
Bocconia_integrifolia,Plantae,Magnoliophyta,Magnoliopsida,Ranunculales,Papaveraceae,Bocconia,integrifolia,12.89,5.30,6.00,185.00,no
Bomarea_edulis,Plantae,Magnoliophyta,Liliopsida,Liliales,Alstroemeriaceae,Bomarea,edulis,16.37,16.62,2.00,49.07,no
Brachyotum_grisebachii,Plantae,Magnoliophyta,Magnoliopsida,Myrtales,Melastomataceae,Brachyotum,grisebachii,7.37,5.70,1.20,9.17,no
Brachyotum_weberbaueri,Plantae,Magnoliophyta,Magnoliopsida,Myrtales,Melastomataceae,Brachyotum,weberbaueri,7.73,5.99,3.00,24.60,no
Brosimum_utile,Plantae,Magnoliophyta,Magnoliopsida,Rosales,Moraceae,Brosimum,utile,8.18,11.37,24.00,470.59,no
Brunellia_stenoptera,Plantae,Magnoliophyta,Magnoliopsida,Oxalidales,Brunelliaceae,Brunellia,stenoptera,2.84,4.54,14.00,143.70,no
Cabralea_canjerana,Plantae,Magnoliophyta,Magnoliopsida,Sapindales,Meliaceae,Cabralea,canjerana,32.80,34.86,18.25,1591.62,no
Calatola_costaricensis,Plantae,Magnoliophyta,Magnoliopsida,Icacinales,Icacinaceae,Calatola,costaricensis,66.95,43.15,14.33,9528.90,no
Calyptranthes_ruiziana,Plantae,Magnoliophyta,Magnoliopsida,Myrtales,Myrtaceae,Calyptranthes,ruiziana,5.70,8.00,16.00,490.00,no
Calyptranthes_speciosa,Plantae,Magnoliophyta,Magnoliopsida,Myrtales,Myrtaceae,Calyptranthes,speciosa,3.92,3.10,3.83,3.45,no
Caryocar_amygdaliforme,Plantae,Magnoliophyta,Magnoliopsida,Malpighiales,Caryocaraceae,Caryocar,amygdaliforme,67.20,76.43,8.00,1141.60,no
Caryocar_glabrum,Plantae,Magnoliophyta,Magnoliopsida,Malpighiales,Caryocaraceae,Caryocar,glabrum,12.02,9.77,14.00,9800.00,no
