Species,Kingdom,Phylum,Class,Order,Family,Genus,Species,Bill width [mm],Bill length [mm],Kipp's index,Bodymass [g]
Aburria_aburri,Animalia,Chordata,Aves,Craciformes,Cracidae,Aburria,aburri ,18.35,35.48,0.18,1407.50
Amazona_farinosa,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Amazona,farinosa,26.50,38.81,0.29,626.00
Amazona_mercenaria,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Amazona,mercenaria,17.51,26.30,0.33,340.00
Amazona_ochrocephala,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Amazona,ochrocephala,20.17,31.40,0.26,440.00
Ampelioides_tschudii,Animalia,Chordata,Aves,Passeriformes,Cotingidae,Ampelioides,tschudii,16.53,24.58,0.24,78.40
Ampelion_rufaxilla,Animalia,Chordata,Aves,Passeriformes,Cotingidae,Ampelion,rufaxilla,16.97,21.89,0.28,73.90
Andigena_hypoglauca,Animalia,Chordata,Aves,Piciformes,Ramphastidae,Andigena,hypoglauca,33.10,97.74,0.10,314.00
Anisognathus_igniventris,Animalia,Chordata,Aves,Passeriformes,Thraupidae,Anisognathus,igniventris,10.55,15.60,0.16,34.00
Anisognathus_somptuosus,Animalia,Chordata,Aves,Passeriformes,Thraupidae,Anisognathus,somptuosus,10.61,19.00,0.19,42.00
Ara_ararauna,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Ara,ararauna,27.22,47.19,0.43,1125.00
Ara_chloropterus,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Ara,chloropterus,37.14,64.07,0.40,1214.00
Ara_macao,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Ara,macao,29.54,47.68,0.38,1015.00
Ara_militaris,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Ara,militaris,29.70,45.08,0.42,1134.00
Ara_severus,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Ara,severus,19.49,29.99,0.40,343.00
Aratinga_mitrata,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Aratinga,mitrata,17.70,25.06,0.43,249.00
Aratinga_weddellii,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Aratinga,weddellii,13.61,19.57,0.44,108.00
Aulacorhynchus_coeruleicinctis,Animalia,Chordata,Aves,Piciformes,Ramphastidae,Aulacorhynchus,coeruleicinctis,26.85,80.28,0.11,208.00
Aulacorhynchus_derbianus,Animalia,Chordata,Aves,Piciformes,Ramphastidae,Aulacorhynchus,derbianus,27.75,81.98,0.13,210.00
Aulacorhynchus_prasinus,Animalia,Chordata,Aves,Piciformes,Ramphastidae,Aulacorhynchus,prasinus,26.33,75.49,0.14,199.50
Bolborhynchus_lineola,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Bolborhynchus,lineola,8.44,11.37,0.50,56.20
Bolborhynchus_orbygnesius,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Bolborhynchus,orbygnesius,9.47,12.93,0.42,43.10
Brotogeris_cyanoptera,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Brotogeris,cyanoptera,9.93,18.00,0.37,56.00
Brotogeris_sanctithomae,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Brotogeris,sanctithomae,8.80,13.67,0.39,59.00
Buthraupis_montana,Animalia,Chordata,Aves,Passeriformes,Thraupidae,Buthraupis,montana,13.46,21.83,0.21,96.00
Cacicus_cela,Animalia,Chordata,Aves,Passeriformes,Icteridae,Cacicus,cela,12.36,32.37,0.28,87.45
Cacicus_chrysonotus,Animalia,Chordata,Aves,Passeriformes,Icteridae,Cacicus,chrysonotus,11.71,27.97,0.16,91.75
Cacicus_haemorrhous,Animalia,Chordata,Aves,Passeriformes,Icteridae,Cacicus,haemorrhous,12.93,32.25,0.26,85.35
Capito_auratus,Animalia,Chordata,Aves,Piciformes,Ramphastidae,Capito,auratus,15.38,28.97,0.18,62.80
Catamblyrhynchus_diadema,Animalia,Chordata,Aves,Passeriformes,Thraupidae,Catamblyrhynchus,diadema,6.88,9.23,0.11,14.15
Catharus_fuscater,Animalia,Chordata,Aves,Passeriformes,Turdidae,Catharus,fuscater,10.07,21.81,0.16,33.70
Catharus_ustulatus,Animalia,Chordata,Aves,Passeriformes,Turdidae,Catharus,ustulatus,9.45,19.82,0.32,30.30
Celeus_elegans,Animalia,Chordata,Aves,Piciformes,Picidae,Celeus,elegans,13.25,33.30,0.16,117.00
Celeus_flavus,Animalia,Chordata,Aves,Piciformes,Picidae,Celeus,flavus,10.15,27.77,0.18,201.00
Celeus_grammicus,Animalia,Chordata,Aves,Piciformes,Picidae,Celeus,grammicus,10.98,27.28,0.24,73.45
Celeus_spectabilis,Animalia,Chordata,Aves,Piciformes,Picidae,Celeus,spectabilis,13.07,32.41,0.15,114.00
Celeus_torquatus,Animalia,Chordata,Aves,Piciformes,Picidae,Celeus,torquatus,12.21,36.43,0.21,134.00
Cephalopterus_ornatus,Animalia,Chordata,Aves,Passeriformes,Cotingidae,Cephalopterus,ornatus,30.17,59.19,0.17,380.00
Chiroxiphia_boliviana,Animalia,Chordata,Aves,Passeriformes,Pipridae,Chiroxiphia,boliviana,9.19,14.60,0.16,17.15
Chiroxiphia_pareola,Animalia,Chordata,Aves,Passeriformes,Pipridae,Chiroxiphia,pareola,9.27,12.93,0.16,16.85
Chlorochrysa_calliparaea,Animalia,Chordata,Aves,Passeriformes,Thraupidae,Chlorochrysa,calliparaea,7.50,14.67,0.24,17.00
Chlorophanes_spiza,Animalia,Chordata,Aves,Passeriformes,Thraupidae,Chlorophanes,spiza,7.79,17.45,0.23,19.00
Chlorophonia_cyanea,Animalia,Chordata,Aves,Passeriformes,Thraupidae,Chlorophonia,cyanea,6.53,10.19,0.28,14.00
Chlorornis_riefferii,Animalia,Chordata,Aves,Passeriformes,Thraupidae,Chlorornis,riefferii,12.00,19.67,0.16,53.00
Chlorospingus_canigularis,Animalia,Chordata,Aves,Passeriformes,Thraupidae,Chlorospingus,canigularis,7.66,14.37,0.18,18.00
Chlorospingus_flavigularis,Animalia,Chordata,Aves,Passeriformes,Thraupidae,Chlorospingus,flavigularis,10.05,17.02,0.17,25.60
Chlorospingus_ophthalmicus,Animalia,Chordata,Aves,Passeriformes,Thraupidae,Chlorospingus,ophthalmicus,7.74,14.13,0.16,15.65
Chlorospingus_parvirostris,Animalia,Chordata,Aves,Passeriformes,Thraupidae,Chlorospingus,parvirostris,8.52,14.61,0.16,24.00
Claravis_mondetoura,Animalia,Chordata,Aves,Columbiformes,Columbidae,Claravis,mondetoura,6.82,18.41,0.29,89.70
