trip.site,taxa,abundance,site.year,site,location,trip,ec,trip.ec,l.context,site.type,wood.crop,veg,shrubs,trees,dom.under,canopy,soil,debris,flow.cov,canola.cov,dist,scdist,native.veg,ag.field,year,changeover,zone100,zone50,zone200,rich,shan,rare.rich,rare.shan
11bow1c1,bee,6,1bow1c1,bow1c1,1bow,1,core,1core,canola,w,wood,YGJ,15,14,native forbs,mid,0.3,0.6,0.14667,90,176.34,0.17634,3.353884,0.198596,1,yes,far,far,close,4,1.329661349,1.866666667,1.329661349
11bow1c1,beetle,1,1bow1c1,bow1c1,1bow,1,core,1core,canola,w,wood,YGJ,15,14,native forbs,mid,0.3,0.6,0.14667,90,176.34,0.17634,3.353884,0.198596,1,yes,far,far,close,1,0,NA,NA
11bow1c1,bug,0,1bow1c1,bow1c1,1bow,1,core,1core,canola,w,wood,YGJ,15,14,native forbs,mid,0.3,0.6,0.14667,90,176.34,0.17634,3.353884,0.198596,1,yes,far,far,close,NA,NA,NA,NA
11bow1c1,fly,2,1bow1c1,bow1c1,1bow,1,core,1core,canola,w,wood,YGJ,15,14,native forbs,mid,0.3,0.6,0.14667,90,176.34,0.17634,3.353884,0.198596,1,yes,far,far,close,2,0.693147181,2,0.693147181
11bow1c1,wasp,0,1bow1c1,bow1c1,1bow,1,core,1core,canola,w,wood,YGJ,15,14,native forbs,mid,0.3,0.6,0.14667,90,176.34,0.17634,3.353884,0.198596,1,yes,far,far,close,NA,NA,NA,NA
11bow1c2,bee,2,1bow1c2,bow1c2,1bow,1,core,1core,canola,w,wood,YGJ,8,10,native forbs,mid,0.35,0.4,0.06667,90,178.7,0.1787,3.353884,0.198596,1,yes,far,far,close,2,0.693147181,2,0.693147181
11bow1c2,beetle,0,1bow1c2,bow1c2,1bow,1,core,1core,canola,w,wood,YGJ,8,10,native forbs,mid,0.35,0.4,0.06667,90,178.7,0.1787,3.353884,0.198596,1,yes,far,far,close,NA,NA,NA,NA
11bow1c2,bug,0,1bow1c2,bow1c2,1bow,1,core,1core,canola,w,wood,YGJ,8,10,native forbs,mid,0.35,0.4,0.06667,90,178.7,0.1787,3.353884,0.198596,1,yes,far,far,close,NA,NA,NA,NA
11bow1c2,fly,1,1bow1c2,bow1c2,1bow,1,core,1core,canola,w,wood,YGJ,8,10,native forbs,mid,0.35,0.4,0.06667,90,178.7,0.1787,3.353884,0.198596,1,yes,far,far,close,1,0,NA,NA
11bow1c2,wasp,0,1bow1c2,bow1c2,1bow,1,core,1core,canola,w,wood,YGJ,8,10,native forbs,mid,0.35,0.4,0.06667,90,178.7,0.1787,3.353884,0.198596,1,yes,far,far,close,NA,NA,NA,NA
11bow1can1,bee,5,1bow1can1,bow1can1,1bow,1,crop,1crop,canola,w,crop,canola,0,0,crop,low,0,0,0.9,90,NA,NA,3.353884,0.198596,1,no,NA,NA,NA,1,0,1,0
11bow1can1,beetle,0,1bow1can1,bow1can1,1bow,1,crop,1crop,canola,w,crop,canola,0,0,crop,low,0,0,0.9,90,NA,NA,3.353884,0.198596,1,no,NA,NA,NA,NA,NA,NA,NA
11bow1can1,bug,0,1bow1can1,bow1can1,1bow,1,crop,1crop,canola,w,crop,canola,0,0,crop,low,0,0,0.9,90,NA,NA,3.353884,0.198596,1,no,NA,NA,NA,NA,NA,NA,NA
11bow1can1,fly,0,1bow1can1,bow1can1,1bow,1,crop,1crop,canola,w,crop,canola,0,0,crop,low,0,0,0.9,90,NA,NA,3.353884,0.198596,1,no,NA,NA,NA,NA,NA,NA,NA
