insectID,site,trip.site,location,taxa,trip,ec,trip.ec,morpho,new.morpho,toby.morpho,morpho.order,family,genus,species,sex,l.context,site.type,wood.crop,veg,shrubs,trees,dom.under,canopy,soil,debris,flow.cov,canola.cov,dist,scdist,native.veg,ag.field,year,changeover,zone100,zone50,zone200,freq,Species,Simp
1Bow1C1bee1,1bow1c1,11bow1c1,1bow,bee,1,core,1core,16,16,16,10,Colletidae,NA,NA,M,canola,w,wood,YGJ,15,14,native forbs,mid,0.3,0.6,0.14667,90,176.34,0.17634,3.353884,0.198596,1,yes,far,far,close,1,Leioproctus sp22,Leio22
1Bow1C1bee2,1bow1c1,11bow1c1,1bow,bee,1,core,1core,4,4,4,9,Colletidae,NA,NA,M,canola,w,wood,YGJ,15,14,native forbs,mid,0.3,0.6,0.14667,90,176.34,0.17634,3.353884,0.198596,1,yes,far,far,close,1,Leioproctus sp15,Leio15
1Bow1C1bee3,1bow1c1,11bow1c1,1bow,bee,1,core,1core,4,4c,4,9,Colletidae,NA,NA,M,canola,w,wood,YGJ,15,14,native forbs,mid,0.3,0.6,0.14667,90,176.34,0.17634,3.353884,0.198596,1,yes,far,far,close,1,Leioproctus sp15,Leio15
1Bow1C1bee4,1bow1c1,11bow1c1,1bow,bee,1,core,1core,13,13,13,2,Colletidae,NA,NA,M,canola,w,wood,YGJ,15,14,native forbs,mid,0.3,0.6,0.14667,90,176.34,0.17634,3.353884,0.198596,1,yes,far,far,close,1,Leioproctus sp13,Leio13
1Bow1C1beetle1,1bow1c1,11bow1c1,1bow,beetle,1,core,1core,OB,OB,OB,32,OB,NA,NA,U,canola,w,wood,YGJ,15,14,native forbs,mid,0.3,0.6,0.14667,90,176.34,0.17634,3.353884,0.198596,1,yes,far,far,close,1,Melyridae sp1,Mel1
1Bow1C1fly1,1bow1c1,11bow1c1,1bow,fly,1,core,1core,HF,MHF,MHF,43,Muscidae,Musca,NA,U,canola,w,wood,YGJ,15,14,native forbs,mid,0.3,0.6,0.14667,90,176.34,0.17634,3.353884,0.198596,1,yes,far,far,close,1,Muscidae sp1,Musc
1Bow1C1fly2,1bow1c1,11bow1c1,1bow,fly,1,core,1core,HvF,HvF5,HvF6,42,Bombyliidae,NA,NA,U,canola,w,wood,YGJ,15,14,native forbs,mid,0.3,0.6,0.14667,90,176.34,0.17634,3.353884,0.198596,1,yes,far,far,close,1,Comptosia sp1,HvF2
1Bow1C1wasp1,1bow1c1,11bow1c1,1bow,bee,1,core,1core,Neo,Neo,Neo,3,Colletidae,Neopasiphae,NA,F,canola,w,wood,YGJ,15,14,native forbs,mid,0.3,0.6,0.14667,90,176.34,0.17634,3.353884,0.198596,1,yes,far,far,close,1,Neopasiphae mirabills,Neo
1Bow1C1wasp2,1bow1c1,11bow1c1,1bow,bee,1,core,1core,Neo,Neo,Neo,3,Colletidae,Neopasiphae,NA,F,canola,w,wood,YGJ,15,14,native forbs,mid,0.3,0.6,0.14667,90,176.34,0.17634,3.353884,0.198596,1,yes,far,far,close,1,Neopasiphae mirabills,Neo
1Bow1C2bee1,1bow1c2,11bow1c2,1bow,bee,1,core,1core,4,4d,4,9,Colletidae,NA,NA,M,canola,w,wood,YGJ,8,10,native forbs,mid,0.35,0.4,0.06667,90,178.7,0.1787,3.353884,0.198596,1,yes,far,far,close,1,Leioproctus sp15,Leio15
