insectID,site,trip.site,site.can,taxa,trip,loc.trip,loc.land.trip,loc.trip.ec,morpho,morpho.order,family,simp.name,genus,species,sex,lat,long,location,can.cov,loc.can,loc.land,l.context,c/w,ce,total.poll,plant,freq,avg,prop.freq,b.napus,e.planta,prot,aster,v.rosea,sola,acacia,fire,prop.noncrop,prop.crop,prop.tree,prop.flow,richness,wood.crop,veg,shrubs,trees,dom.under,canopy,soil,debris,flow.cov,canola.cov,dist,scdist,native.veg,ag.field,year,changeover,zone100,zone50,zone200
3Bow1CAN2bee4,Bow1CAN2,3Bow1CAN2,Bow1CAN2LOW,bee,2,Bowgada2,Bowgada.canola2,Bowgada2crop,HB,1,Apidae,Apidae,Apis,mellifera,F,-29.342517,116.1648,Bowgada,LOW,BowgadaLOW,Bowgada.canola,canola,c,crop,27198,b.napus,27198,2283.1043,11.91272777,27198,0,0,0,0,0,0,0,0,1,0,0,1,crop,canola,0,0,crop,low,0,0,0.1,10,NA,NA,3.353884,0.198596,1,no,NA,NA,NA
2Luck1C1beetle2,Luck1C1,2Luck1C1,Luck1C1HIGH,beetle,2,Lucky2,Lucky.canola2,Lucky2core,OB,32,OB,OB,NA,NA,U,-30.281933,116.736033,Lucky,HIGH,LuckyHIGH,Lucky.canola,canola,w,core,1264,aster,1264,2387.8916,0.529337261,0,0,0,1264,0,0,0,0,1,0,0,1,1,wood,YGJ,6,9,native forbs,high,0.5,0.2,0.07111,80,105.62,0.10562,0.124233,2.635954,1,no,far,far,close
2Luck1C2bee1,Luck1C2,2Luck1C2,Luck1C2HIGH,bee,2,Lucky2,Lucky.canola2,Lucky2core,13,2,Colletidae,Colletidae,NA,NA,M,-30.282783,116.736283,Lucky,HIGH,LuckyHIGH,Lucky.canola,canola,w,core,5521,aster,5521,2387.8916,2.312081503,0,0,0,5521,0,0,0,0,1,0,0,1,1,wood,YGJ,6,9,native forbs,high,0.5,0.2,0.04444,80,105.62,0.10562,0.124233,2.635954,1,no,far,far,close
2Luck1C2beetle1,Luck1C2,2Luck1C2,Luck1C2HIGH,beetle,2,Lucky2,Lucky.canola2,Lucky2core,OB,32,OB,OB,NA,NA,U,-30.282783,116.736283,Lucky,HIGH,LuckyHIGH,Lucky.canola,canola,w,core,3231,aster,3231,2387.8916,1.353076496,0,0,0,3231,0,0,0,0,1,0,0,1,1,wood,YGJ,6,9,native forbs,high,0.5,0.2,0.04444,80,105.62,0.10562,0.124233,2.635954,1,no,far,far,close
2Luck1C2beetle2,Luck1C2,2Luck1C2,Luck1C2HIGH,beetle,2,Lucky2,Lucky.canola2,Lucky2core,OB,32,OB,OB,NA,NA,U,-30.282783,116.736283,Lucky,HIGH,LuckyHIGH,Lucky.canola,canola,w,core,1557,aster,1557,2387.8916,0.652039649,0,0,0,1557,0,0,0,0,1,0,0,1,1,wood,YGJ,6,9,native forbs,high,0.5,0.2,0.04444,80,105.62,0.10562,0.124233,2.635954,1,no,far,far,close
2Luck1C2beetle3,Luck1C2,2Luck1C2,Luck1C2HIGH,beetle,2,Lucky2,Lucky.canola2,Lucky2core,OB,32,OB,OB,NA,NA,U,-30.282783,116.736283,Lucky,HIGH,LuckyHIGH,Lucky.canola,canola,w,core,7781,aster,7781,2387.8916,3.258523126,0,0,0,7781,0,0,0,0,1,0,0,1,1,wood,YGJ,6,9,native forbs,high,0.5,0.2,0.04444,80,105.62,0.10562,0.124233,2.635954,1,no,far,far,close
2Luck1E2beetle1,Luck1E2,2Luck1E2,Luck1E2HIGH,beetle,2,Lucky2,Lucky.canola2,Lucky2edge,OB,32,OB,OB,NA,NA,U,-30.283,116.737183,Lucky,HIGH,LuckyHIGH,Lucky.canola,canola,w,edge,5009,aster,5009,2387.8916,2.09766641,0,0,0,5009,0,0,0,0,1,0,0,1,1,wood,YGJ,0,2,native forbs,high,0.7,0.4,0.03111,80,22.16,0.02216,0.124233,2.635954,1,no,close,close,close
2Luck1E2beetle2,Luck1E2,2Luck1E2,Luck1E2HIGH,beetle,2,Lucky2,Lucky.canola2,Lucky2edge,OB,32,OB,OB,NA,NA,U,-30.283,116.737183,Lucky,HIGH,LuckyHIGH,Lucky.canola,canola,w,edge,2313,aster,2313,2387.8916,0.968636935,0,0,0,2313,0,0,0,0,1,0,0,1,1,wood,YGJ,0,2,native forbs,high,0.7,0.4,0.03111,80,22.16,0.02216,0.124233,2.635954,1,no,close,close,close
2Per1CAN1bee5,Per1CAN1,2Per1CAN1,Per1CAN1MID,bee,2,Perenjori2,Perenjori.canola2,Perenjori2crop,HB,1,Apidae,Apidae,Apis,mellifera,F,-29.48025,116.201,Perenjori,MID,PerenjoriMID,Perenjori.canola,canola,c,crop,4334,b.napus,4334,2283.1043,1.898292601,4334,0,0,0,0,0,0,0,0,1,0,0,1,crop,canola,0,0,crop,low,0,0,0.6,60,NA,NA,3.564737,1.549344,1,no,NA,NA,NA
2Per1CAN1bee6,Per1CAN1,2Per1CAN1,Per1CAN1MID,bee,2,Perenjori2,Perenjori.canola2,Perenjori2crop,HB,1,Apidae,Apidae,Apis,mellifera,F,-29.48025,116.201,Perenjori,MID,PerenjoriMID,Perenjori.canola,canola,c,crop,5614,b.napus,5614,2283.1043,2.458932778,5614,0,0,0,0,0,0,0,0,1,0,0,1,crop,canola,0,0,crop,low,0,0,0.6,60,NA,NA,3.564737,1.549344,1,no,NA,NA,NA
2Per1CAN1fly2,Per1CAN1,2Per1CAN1,Per1CAN1MID,fly,2,Perenjori2,Perenjori.canola2,Perenjori2crop,SF,41,Syrphidae,Syrphidae,NA,NA,U,-29.48025,116.201,Perenjori,MID,PerenjoriMID,Perenjori.canola,canola,c,crop,1798,b.napus,1798,2283.1043,0.787524249,1798,0,0,0,0,0,0,0,0,1,0,0,1,crop,canola,0,0,crop,low,0,0,0.6,60,NA,NA,3.564737,1.549344,1,no,NA,NA,NA
