insectID,reserv,taxa,trip,sex,location,lat,long,l.context,c.w,ce,total.poll,sc.total.poll,b.napus,e.planta,prot,aster,v.rosea,sola,acacia,fire,prop.noncrop,prop.crop,prop.tree,prop.flow,richness,predom.pollen,wood.crop,veg,shrubs,trees,dom.under,canopy,soil,debris,flow.cov,canola.cov,dist,scdist,native.veg,ag.field,year,changeover,zone100,zone50,zone200,Species,Simp,context.site,shan,even,rare.rich,rare.shan,rare.even
1Bow1C1bee1,Bow1C1,bee,1,M,Bowgada,-29.340667,116.1679,canola,w,core,757,0.757,0,0,0,757,0,0,0,0,1,0,0,1,1,0,wood,YGJ,15,14,native forbs,mid,0.3,0.6,0.14667,90,176.34,0.17634,3.353884,0.198596,1,yes,far,far,close,Leioproctus sp22,Leio22,canola core,0,0,1,0,0
1Bow1C1bee2,Bow1C1,bee,1,M,Bowgada,-29.340667,116.1679,canola,w,core,199,0.199,0,0,0,199,0,0,0,0,1,0,0,1,1,0,wood,YGJ,15,14,native forbs,mid,0.3,0.6,0.14667,90,176.34,0.17634,3.353884,0.198596,1,yes,far,far,close,Leioproctus sp15,Leio15,canola core,0,0,1,0,0
1Bow1C1bee3,Bow1C1,bee,1,M,Bowgada,-29.340667,116.1679,canola,w,core,362,0.362,0,0,0,362,0,0,0,0,1,0,0,1,1,0,wood,YGJ,15,14,native forbs,mid,0.3,0.6,0.14667,90,176.34,0.17634,3.353884,0.198596,1,yes,far,far,close,Leioproctus sp15,Leio15,canola core,0,0,1,0,0
1Bow1C1bee4,Bow1C1,bee,1,M,Bowgada,-29.340667,116.1679,canola,w,core,573,0.573,0,0,0,573,0,0,0,0,1,0,0,1,1,0,wood,YGJ,15,14,native forbs,mid,0.3,0.6,0.14667,90,176.34,0.17634,3.353884,0.198596,1,yes,far,far,close,Leioproctus sp13,Leio13,canola core,0,0,1,0,0
1Bow1C1beetle1,Bow1C1,beetle,1,U,Bowgada,-29.340667,116.1679,canola,w,core,3750,3.75,0,0,0,3750,0,0,0,0,1,0,0,1,1,0,wood,YGJ,15,14,native forbs,mid,0.3,0.6,0.14667,90,176.34,0.17634,3.353884,0.198596,1,yes,far,far,close,Melyridae sp1,Mel1,canola core,0,0,1,0,0
1Bow1C1fly1,Bow1C1,fly,1,U,Bowgada,-29.340667,116.1679,canola,w,core,352,0.352,0,0,0,352,0,0,0,0,1,0,0,1,1,0,wood,YGJ,15,14,native forbs,mid,0.3,0.6,0.14667,90,176.34,0.17634,3.353884,0.198596,1,yes,far,far,close,Muscidae sp1,Musc,canola core,0,0,1,0,0
1Bow1C1fly2,Bow1C1,fly,1,U,Bowgada,-29.340667,116.1679,canola,w,core,468,0.468,0,0,0,468,0,0,0,0,1,0,0,1,1,0,wood,YGJ,15,14,native forbs,mid,0.3,0.6,0.14667,90,176.34,0.17634,3.353884,0.198596,1,yes,far,far,close,Comptosia sp1,HvF2,canola core,0,0,1,0,0
1Bow1C1wasp1,Bow1C1,bee,1,F,Bowgada,-29.340667,116.1679,canola,w,core,633,0.633,0,0,0,633,0,0,0,0,1,0,0,1,1,0,wood,YGJ,15,14,native forbs,mid,0.3,0.6,0.14667,90,176.34,0.17634,3.353884,0.198596,1,yes,far,far,close,Neopasiphae mirabills,Neo,canola core,0,0,1,0,0
1Bow1C1wasp2,Bow1C1,bee,1,F,Bowgada,-29.340667,116.1679,canola,w,core,642,0.642,0,0,0,642,0,0,0,0,1,0,0,1,1,0,wood,YGJ,15,14,native forbs,mid,0.3,0.6,0.14667,90,176.34,0.17634,3.353884,0.198596,1,yes,far,far,close,Neopasiphae mirabills,Neo,canola core,0,0,1,0,0
1Bow1C2bee1,Bow1C2,bee,1,M,Bowgada,-29.3407,116.167367,canola,w,core,717,0.717,0,0,0,717,0,0,0,0,1,0,0,1,1,0,wood,YGJ,8,10,native forbs,mid,0.35,0.4,0.06667,90,178.7,0.1787,3.353884,0.198596,1,yes,far,far,close,Leioproctus sp15,Leio15,canola core,0,0,1,0,0
