pair_id,f_treatment,m_treatment,f_mass_before_treatment,f_mass_after_treatment,m_mass_before_treatment,m_mass_after_treatment,carcass_mass,f_direct,f_indirect,f_consume,m_direct,m_indirect,m_consume,f_mass_after_breeding,m_mass_after_breeding,number_larvae,average_larval_mass
1,food_deprived,food_deprived,0.191,0.186,0.274,0.256,19.90,7,7,11,3,5,7,0.169,0.264,17,0.218
2,food_deprived,food_deprived,0.261,0.203,0.293,0.245,19.55,0,6,20,4,2,9,0.255,0.287,13,0.232
3,food_deprived,food_deprived,0.243,0.203,0.302,0.279,19.14,7,2,17,0,0,0,0.261,0.291,14,0.191
4,food_deprived,food_deprived,0.256,0.206,0.229,0.205,19.43,10,1,5,0,9,0,0.235,0.208,15,0.198
5,food_deprived,food_deprived,0.260,0.208,0.243,0.227,15.55,6,11,9,0,18,0,0.255,0.233,13,0.219
6,food_deprived,food_deprived,0.233,0.202,0.243,0.199,17.91,6,6,5,3,3,6,0.248,0.247,14,0.209
7,food_deprived,food_deprived,0.292,0.208,0.241,0.184,17.32,12,0,16,0,0,0,0.284,0.213,10,0.240
8,food_deprived,food_deprived,0.231,0.202,0.298,0.207,18.99,0,0,0,9,1,11,0.247,0.290,8,0.238
9,food_deprived,food_deprived,0.288,0.229,0.325,0.246,19.04,18,0,12,0,1,0,0.318,0.263,17,0.219
10,food_deprived,food_deprived,0.283,0.200,0.281,0.208,15.50,11,2,10,1,3,7,0.293,0.243,14,0.176
11,food_deprived,food_deprived,0.266,0.212,0.275,0.223,18.62,10,7,5,3,4,6,0.287,0.294,13,0.221
12,food_deprived,food_deprived,0.274,0.176,0.259,0.188,19.77,12,1,11,3,9,2,0.286,0.254,13,0.253
13,food_deprived,food_deprived,0.306,0.233,0.264,0.206,18.57,0,0,0,9,3,10,0.335,0.315,16,0.208
14,food_deprived,food_deprived,0.311,0.231,0.295,0.250,18.20,9,2,13,0,0,0,0.323,0.248,17,0.225
15,food_deprived,food_deprived,0.319,0.224,0.243,0.206,19.72,10,5,12,2,11,4,0.343,0.233,11,0.234
16,food_deprived,food_deprived,0.196,0.153,0.251,0.206,17.05,10,4,11,0,0,0,0.208,0.268,13,0.204
17,food_deprived,food_deprived,0.211,0.169,0.216,0.195,19.67,8,14,7,0,0,0,0.239,0.303,13,0.201
18,food_deprived,food_deprived,0.261,0.252,0.236,0.197,19.12,1,6,5,8,1,20,0.272,0.294,15,0.259
19,food_deprived,food_deprived,0.266,0.196,0.278,0.236,16.39,9,1,16,0,0,0,0.325,0.277,13,0.252
20,food_deprived,food_deprived,0.226,0.159,0.192,0.163,17.64,8,6,12,0,0,0,0.228,0.170,14,0.255
21,food_deprived,food_deprived,0.308,0.229,0.336,0.243,19.55,11,1,16,0,3,0,0.303,0.268,11,0.274
22,food_deprived,food_deprived,0.342,0.249,0.316,0.225,16.37,9,2,9,0,0,0,0.334,0.295,8,0.259
23,food_deprived,food_deprived,0.338,0.201,0.325,0.258,19.28,10,3,12,0,1,0,0.294,0.262,18,0.245
24,food_deprived,food_deprived,0.224,0.168,0.250,0.224,18.64,13,3,9,3,1,2,0.229,0.222,14,0.244
25,food_deprived,food_deprived,0.281,0.255,0.279,0.216,19.72,4,10,11,9,4,12,0.332,0.279,13,0.243
26,food_deprived,food_deprived,0.291,0.257,0.291,0.273,18.05,0,1,0,0,1,0,0.255,0.286,12,0.240
27,food_deprived,food_deprived,0.356,0.257,0.323,0.277,19.39,5,4,9,0,0,0,0.313,0.312,11,0.267
28,food_deprived,food_deprived,0.267,0.233,0.263,0.228,16.22,15,1,13,0,0,0,0.298,0.291,2,0.149
29,food_deprived,food_deprived,0.270,0.202,0.267,0.232,19.86,11,3,12,0,0,0,0.254,0.222,17,0.212
30,food_deprived,food_deprived,0.219,0.200,0.211,0.187,17.41,14,3,13,0,0,0,0.232,0.181,14,0.227
31,food_deprived,well_fed,0.238,0.203,0.208,0.208,18.97,4,5,10,8,3,14,0.270,0.225,14,0.206
32,food_deprived,well_fed,0.270,0.290,0.283,0.270,19.34,5,7,2,0,0,0,0.277,0.257,12,0.243
33,food_deprived,well_fed,0.244,0.209,0.220,0.213,19.75,9,4,13,0,0,0,0.229,0.200,16,0.224
34,food_deprived,well_fed,0.272,0.214,0.237,0.239,18.70,10,3,9,5,7,8,0.213,0.240,19,0.215
35,food_deprived,well_fed,0.336,0.284,0.217,0.229,18.57,13,0,15,0,0,0,0.308,0.215,16,0.229
36,food_deprived,well_fed,0.247,0.204,0.236,0.242,19.47,8,1,15,10,5,8,0.222,0.210,18,0.233
