KoordID;.imp;Scenario_1_Total_ME_GJ;Scenario_2_Total_ME_GJ;UAA;Bird_Sp_All;Bird_Sp_K;Bird_Abun_All;Bird_Abun_K;Even_bird;Butt_Sp_All;Butt_Abun_All;Even_butt
ID1;1;6613.302566;5438.998166;80.880046;42;9;271;61;0.821306867;28;245;0.816870279
ID1;10;6163.999161;5060.742477;80.880046;42;9;271;61;0.821306867;28;245;0.816870279
ID1;11;6852.394583;5642.804581;80.880046;42;9;271;61;0.821306867;28;245;0.816870279
ID1;12;6669.860928;5530.842131;80.880046;42;9;271;61;0.821306867;28;245;0.816870279
ID1;13;6128.321917;5036.650614;80.880046;42;9;271;61;0.821306867;28;245;0.816870279
ID1;14;6809.758252;5600.16825;80.880046;42;9;271;61;0.821306867;28;245;0.816870279
ID1;15;6617.516098;5452.94171;80.880046;42;9;271;61;0.821306867;28;245;0.816870279
ID1;16;6099.054837;5019.321888;80.880046;42;9;271;61;0.821306867;28;245;0.816870279
ID1;17;6101.675048;5021.942099;80.880046;42;9;271;61;0.821306867;28;245;0.816870279
ID1;18;6638.400215;5514.262612;80.880046;42;9;271;61;0.821306867;28;245;0.816870279
ID1;19;6277.916008;5174.659324;80.880046;42;9;271;61;0.821306867;28;245;0.816870279
ID1;2;6789.158344;5603.092077;80.880046;42;9;271;61;0.821306867;28;245;0.816870279
ID1;20;6105.219501;5025.486552;80.880046;42;9;271;61;0.821306867;28;245;0.816870279
ID1;21;6752.633477;5543.043476;80.880046;42;9;271;61;0.821306867;28;245;0.816870279
ID1;22;6253.955429;5126.698498;80.880046;42;9;271;61;0.821306867;28;245;0.816870279
ID1;23;6234.526748;5154.793799;80.880046;42;9;271;61;0.821306867;28;245;0.816870279
ID1;24;6105.107188;5025.374239;80.880046;42;9;271;61;0.821306867;28;245;0.816870279
ID1;25;6219.024035;5139.291086;80.880046;42;9;271;61;0.821306867;28;245;0.816870279
ID1;26;6098.944163;5019.211213;80.880046;42;9;271;61;0.821306867;28;245;0.816870279
ID1;27;6105.331814;5025.598865;80.880046;42;9;271;61;0.821306867;28;245;0.816870279
ID1;28;6762.169708;5552.579706;80.880046;42;9;271;61;0.821306867;28;245;0.816870279
ID1;29;6105.118831;5025.385882;80.880046;42;9;271;61;0.821306867;28;245;0.816870279
ID1;3;6820.142261;5610.55226;80.880046;42;9;271;61;0.821306867;28;245;0.816870279
ID1;30;6163.64985;5059.916654;80.880046;42;9;271;61;0.821306867;28;245;0.816870279
ID1;31;6179.70364;5099.970691;80.880046;42;9;271;61;0.821306867;28;245;0.816870279
ID1;32;6270.429229;5143.64881;80.880046;42;9;271;61;0.821306867;28;245;0.816870279
ID1;33;6105.941148;5026.208199;80.880046;42;9;271;61;0.821306867;28;245;0.816870279
ID1;34;6134.7778;5043.282984;80.880046;42;9;271;61;0.821306867;28;245;0.816870279
ID1;35;6767.12192;5557.531919;80.880046;42;9;271;61;0.821306867;28;245;0.816870279
ID1;36;6219.861542;5139.65208;80.880046;42;9;271;61;0.821306867;28;245;0.816870279
ID1;37;6809.758252;5600.16825;80.880046;42;9;271;61;0.821306867;28;245;0.816870279
ID1;38;6627.530819;5429.702685;80.880046;42;9;271;61;0.821306867;28;245;0.816870279
ID1;39;6105.331814;5025.598865;80.880046;42;9;271;61;0.821306867;28;245;0.816870279
ID1;4;6794.677727;5592.528322;80.880046;42;9;271;61;0.821306867;28;245;0.816870279
ID1;40;6759.349081;5549.759079;80.880046;42;9;271;61;0.821306867;28;245;0.816870279
