KoordID;Mean_Scenario_1;Mean_Scenario_2;UAA;Accipiter gentilis;Accipiter nisus;Acrocephalus palustris;Acrocephalus scirpaceus;Aegithalos caudatus;Aglais urticae;Alauda arvensis;Alcedo atthis;Anas platyrhynchos;Anser anser;Anthocharis cardamines;Apatura iris;Aphantopus hyperantus;Aporia crataegi;Apus apus;Apus melba;Araschnia levana;Argynnis adippe;Argynnis paphia;Aricia agestis-Komplex;Asio otus;Boloria dia;Brenthis daphne;Brenthis ino;Brintesia circe;Buteo buteo;Carcharodus alceae;Carduelis cannabina;Carduelis carduelis;Carduelis chloris;Carterocephalus palaemon;Celastrina argiolus;Certhia brachydactyla;Certhia familiaris;Ciconia ciconia;Cinclus cinclus;Coccothraustes coccothraustes;Coenonympha pamphilus;Colias croceus;Colias hyale-Komplex;Columba livia domestica;Columba oenas;Columba palumbus;Corvus corax;Corvus corone;Corvus monedula;Coturnix coturnix;Cuculus canorus;Cupido alcetas;Cupido argiades;Cupido minimus;Cygnus olor;Delichon urbicum;Dendrocopos major;Dendrocopos minor;Dryocopus martius;Emberiza calandra;Emberiza citrinella;Emberiza schoeniclus;Erithacus rubecula;Erynnis tages;Falco subbuteo;Falco tinnunculus;Ficedula hypoleuca;Fringilla coelebs;Fulica atra;Gallinula chloropus;Garrulus glandarius;Gonepteryx rhamni;Hippolais icterina;Hirundo rustica;Inachis io;Issoria lathonia;Lanius collurio;Larus michahellis;Lasiommata maera;Lasiommata megera;Leptidea sinapis-Komplex;Limenitis camilla;Locustella luscinioides;Loxia curvirostra;Luscinia megarhynchos;Lycaena phlaeas;Lycaena tityrus;Maniola jurtina;Melanargia galathea;Melitaea athalia;Melitaea diamina;Melitaea parthenoides;Milvus migrans;Milvus milvus;Motacilla alba;Motacilla cinerea;Motacilla flava;Muscicapa striata;Ochlodes venata;Oriolus oriolus;Papilio machaon;Pararge aegeria;Parus ater;Parus caeruleus;Parus cristatus;Parus major;Parus palustris;Passer domesticus;Passer montanus;Pernis apivorus;Phasianus colchicus;Phoenicurus ochruros;Phoenicurus phoenicurus;Phylloscopus collybita;Phylloscopus sibilatrix;Phylloscopus trochilus;Pica pica;Picus canus;Picus viridis;Pieris brassicae;Pieris mannii;Pieris napi-Komplex;Pieris rapae-Komplex;Plebeius argus;Podiceps cristatus;Polygonia c-album;Polyommatus bellargus;Polyommatus icarus;Polyommatus semiargus;Polyommatus thersites;Prunella modularis;Pyrgus alveus-Komplex;Pyrgus armoricanus;Pyrgus malvae-Komplex;Pyrrhula pyrrhula;Rallus aquaticus;Regulus ignicapilla;Regulus regulus;Satyrium w-album;Saxicola rubicola;Serinus serinus;Sitta europaea;Streptopelia decaocto;Streptopelia turtur;Strix aluco;Sturnus vulgaris;Sylvia atricapilla;Sylvia borin;Sylvia communis;Tachybaptus ruficollis;Thecla betulae;Thymelicus lineola;Thymelicus sylvestris;Troglodytes troglodytes;Turdus merula;Turdus philomelos;Turdus pilaris;Turdus viscivorus;Vanellus vanellus;Vanessa atalanta;Vanessa cardui;Zygaena filipendulae
ID1;6408.475094;5273.975263;80.880046;1;1;0;0;1;2;13;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;2;4;2;5;9;0;2;3;4;0;0;0;13;14;1;2;0;1;0;8;0;0;0;4;9;0;0;3;3;1;1;0;13;0;10;8;0;1;0;22;0;0;0;0;0;10;0;0;0;0;0;3;0;0;0;0;0;2;0;23;9;0;0;0;1;0;3;0;0;0;0;0;1;1;0;5;0;17;2;57;3;0;0;8;0;4;0;0;2;0;1;4;0;26;50;0;0;0;2;26;12;0;0;0;0;0;0;0;1;0;0;0;0;1;1;0;0;9;18;0;0;0;1;19;2;1;17;3;0;1;0;3;2;0
ID2;5397.267979;4084.478516;82.563869;0;0;0;0;1;10;21;0;0;0;4;1;0;3;0;0;0;0;4;0;0;0;0;0;0;1;0;1;0;1;0;0;6;0;0;0;0;19;0;3;0;1;5;0;6;0;0;1;1;10;0;0;0;2;0;0;0;3;0;8;0;0;0;0;21;0;0;2;6;0;0;3;0;0;0;0;7;3;0;0;0;0;0;0;220;5;1;0;0;2;0;0;0;0;2;0;1;1;10;9;4;2;13;2;0;0;0;0;0;0;7;0;0;0;0;1;17;43;328;296;1;0;2;0;7;14;0;2;0;0;0;0;0;18;0;0;0;0;4;0;0;0;6;21;3;0;0;0;92;0;6;16;4;0;1;0;1;8;3
ID3;3843.540292;3218.393178;90.575994;0;0;0;0;0;7;17;0;0;0;0;0;3;0;0;0;0;0;0;6;0;0;0;0;0;1;0;8;6;2;0;0;0;0;0;0;0;40;22;47;0;0;2;0;5;0;0;0;0;0;0;0;1;1;0;0;0;7;0;0;0;0;1;0;6;0;0;0;0;0;7;1;0;0;0;0;0;0;0;0;0;0;0;0;4;16;0;0;0;1;1;3;0;0;0;1;0;1;1;0;4;0;7;2;60;10;0;0;8;0;0;0;0;3;0;0;1;0;119;61;0;0;0;0;27;1;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;7;8;0;0;0;0;41;0;0;2;0;0;0;0;2;2;0
ID4;2295.398039;1714.624589;72.74024;0;0;0;0;0;20;4;0;1;0;2;0;222;0;2;0;0;0;0;0;0;0;2;1;0;1;0;0;0;8;0;0;0;1;0;0;0;14;1;4;0;0;4;0;7;0;0;1;0;0;0;0;15;6;0;1;0;13;0;6;0;0;0;0;27;0;0;2;0;0;14;0;0;0;0;0;0;0;0;0;0;0;1;0;248;103;0;0;0;1;0;3;0;0;0;6;0;1;21;5;17;0;15;0;40;21;0;0;14;1;6;0;0;3;0;2;11;0;161;41;0;0;1;0;19;0;0;4;0;0;1;1;0;4;5;0;0;3;4;0;0;0;8;18;0;0;0;0;27;23;6;15;4;0;2;0;6;2;19
ID5;5554.325058;4647.113347;79.917848;0;0;0;0;1;0;6;0;0;0;0;0;4;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;2;3;0;0;4;2;0;0;0;1;0;1;0;1;6;0;7;0;0;1;12;5;0;0;0;6;0;1;0;12;0;5;0;1;1;0;22;0;0;3;0;0;6;0;0;0;0;0;13;0;0;0;0;0;0;0;14;7;0;0;0;1;0;3;0;0;2;1;2;0;16;4;12;1;10;2;10;4;0;0;3;0;13;0;0;0;0;1;1;0;49;35;0;0;0;0;3;0;0;4;0;0;0;0;0;9;1;0;2;1;9;0;0;0;10;34;2;0;0;0;0;0;6;14;0;0;2;0;1;1;1
ID6;1437.884779;1167.113721;84.762514;0;0;0;0;0;5;0;0;3;0;0;0;5;0;0;0;1;0;7;0;0;1;0;0;0;2;0;0;0;10;0;2;8;0;0;0;0;19;18;24;0;0;9;0;5;0;0;0;2;2;0;0;0;5;0;0;0;8;0;8;0;0;2;0;18;0;0;3;1;0;9;1;2;0;0;0;0;2;0;0;0;0;2;0;44;12;0;0;0;2;1;5;0;0;0;1;0;1;18;3;24;0;26;3;43;21;0;0;6;0;3;0;0;2;0;1;2;0;60;15;0;0;3;0;34;27;0;0;0;0;0;0;0;5;0;0;0;0;7;0;0;0;29;29;0;0;0;0;4;2;9;24;2;11;0;0;7;4;4
ID7;748.2441993;567.3802069;87.803926;0;0;0;0;0;13;0;0;1;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;2;0;1;1;2;0;0;0;1;0;0;0;42;7;64;0;0;6;1;9;0;0;0;0;0;0;0;0;3;0;0;0;2;0;5;0;0;1;1;19;0;0;1;0;0;0;0;1;0;0;0;1;0;0;0;1;0;0;0;1;6;0;0;0;1;1;2;0;0;0;0;0;3;0;5;12;2;10;0;2;1;0;0;4;0;1;0;0;1;0;0;1;0;21;6;0;0;0;0;28;0;0;0;0;0;0;0;0;8;0;0;0;0;2;0;0;0;4;20;0;0;0;0;0;0;3;6;1;3;3;0;3;0;2
ID8;1396.870519;1052.888604;60.24806;0;0;0;0;1;3;4;0;0;0;2;0;5;0;0;0;6;0;1;1;0;0;1;0;0;2;7;1;1;1;0;1;4;1;0;0;1;59;37;12;0;1;11;1;6;0;1;0;6;47;0;0;0;7;0;1;0;12;0;18;0;0;1;0;31;0;0;3;0;0;0;3;5;0;0;0;25;0;7;0;0;0;18;0;129;7;0;0;9;1;1;3;0;0;2;6;0;3;64;8;14;3;19;11;1;3;1;0;2;0;14;0;0;0;0;2;6;0;211;35;0;0;12;0;129;10;0;0;0;0;0;0;0;20;4;0;0;0;8;1;0;0;8;43;0;0;0;0;6;3;10;23;10;0;7;0;8;8;159
ID9;1114.997794;758.8105146;66.942704;0;0;0;0;0;12;2;0;0;0;1;0;32;0;3;0;1;0;0;6;0;1;1;0;1;1;2;2;3;10;0;0;0;0;0;0;0;33;0;12;1;0;0;0;10;0;0;0;2;0;0;0;7;0;0;0;0;0;0;0;0;0;1;0;5;0;0;0;2;0;6;0;0;0;0;0;12;0;0;0;0;0;2;0;12;65;0;0;0;1;1;4;0;0;0;2;0;1;1;0;2;0;3;0;53;1;0;0;16;0;0;0;0;6;0;0;8;8;33;88;0;0;2;0;38;7;1;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;14;0;0;0;0;0;3;2;0;0;0;0;0;0;13;1;60
ID10;8804.267378;7977.632973;93.528707;0;0;1;2;0;36;35;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;79;47;130;0;0;1;0;2;0;3;0;0;3;0;0;0;0;0;0;5;7;0;0;0;0;0;0;7;0;0;0;0;0;0;11;0;1;0;0;2;0;0;0;0;1;0;0;0;27;0;0;0;0;0;0;0;0;0;1;0;1;0;0;1;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;125;106;0;0;0;0;41;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;15;1;2;0;0;223;0;0;4;0;0;0;0;3;19;1
