category	cz	mi	ro
grass_a	0	0	0
grass_t	12	3	2
grass_s	40	7	7
grass_p	49	16	22
grass_d	124	42	111
cbrush_a	61	6	1
cbrush_t	75	9	15
cbrush_s	43	19	41
cbrush_p	34	21	40
cbrush_d	12	13	45
fennel_a	60	68	139
fennel_t	37	0	2
fennel_s	33	0	1
fennel_p	36	0	0
fennel_d	59	0	0
lupine_a	189	28	112
lupine_t	35	12	27
lupine_s	1	7	2
lupine_p	0	7	1
lupine_d	0	14	0
sage_a	117	44	56
sage_t	61	14	41
sage_s	22	6	21
sage_p	20	2	13
sage_d	5	2	11
forbs_a	16	3	4
forbs_t	137	18	107
forbs_s	38	23	24
forbs_p	16	14	5
forbs_d	18	10	2
other_a	47	22	68
other_t	78	23	48
other_s	51	15	14
other_p	19	7	11
other_d	30	1	1
