ss,band,site_name,island,year,zone,utm_e,utm_n,sex,age,mass,wing,tarsus,primext,billd,billw,billl,bill_sa,maxt,D1,D2,bodsize,billsc
59,2661-31775,cz151,CZ,2014,11,253582,3763747,M,SY,17.7,63.42,19.44,7.68,6.37,5.03,8.53,76.37368821,23.1,-0.56274226,1.991130196,-0.930665487,-2.486829521
60,2661-31776,cz152,CZ,2014,11,253478,3763827,M,ASY,20.5,57.92,19.51,6.91,6.26,5.24,9.24,83.45640884,23.1,-0.229014592,0.029516589,-1.409115364,5.153044033
64,2661-31780,cz155,CZ,2014,11,253590,3763713,M,ASY,19.4,60.93,19.9,7.17,6.46,5.1,9.17,83.25628939,23.1,-0.342030345,1.934667499,-0.911511137,4.373466496
66,2661-31782,cz159,CZ,2014,11,253555,3763723,M,ASY,19.2,60.47,18.74,7.78,6.55,4.88,9.05,81.24276412,23.1,0.432917148,1.009491884,-1.188280031,2.682237472
67,2661-31783,cz157,CZ,2014,11,253122,3763957,M,ASY,19.7,59.63,19.01,5.79,6.22,5.01,8.7,76.73418596,23.1,-0.669952484,2.177157192,-1.221893528,-1.787197909
68,2661-31784,cz158,CZ,2014,11,253108,3763955,M,ASY,20.9,58,19.47,7.16,6.13,5.2,8.6,76.52762625,23.1,-0.669952484,2.177157192,-1.161833864,-2.063696851
70,2661-31760,cz40,CZ,2014,11,248219,3765101,M,ASY,23.9,59.25,19.62,6.1,6.83,5.37,9.25,88.63218274,23,0.051550048,2.084034638,0.929761413,7.605205492
71,2661-31761,cz40,CZ,2014,11,248219,3765101,F,SY,19.9,55.4,20.31,7.45,6.06,4.96,8.77,75.90511966,23,0.051550048,2.084034638,-2.655055581,-0.947352859
72,2661-31762,cz42,CZ,2014,11,248262,3765096,M,SY,22.4,57.91,19.26,6.15,6.37,4.76,8.55,74.73966733,23,-0.086012604,2.049267429,-0.376718662,-4.765919214
73,2661-31763,cz41,CZ,2014,11,248203,3765120,M,SY,19.5,61.38,19.58,7.85,5.98,4.8,9.6,81.27928513,23,-1.052204411,1.805074753,-0.692916709,2.141909919
74,2661-31764,cz63,CZ,2014,11,249683,3764819,M,SY,23.2,59.1,19.04,6.17,6.17,5.28,9.31,83.72305152,23,-0.623647597,1.591767728,0.493372881,3.204246932
75,2661-31765,cz64,CZ,2014,11,249569,3764844,M,SY,21.7,62.41,19.75,4.05,5.96,5.41,9.13,81.53069109,23,-0.669952484,2.177157192,0.88224012,0.559052193
76,2661-31766,cz65,CZ,2014,11,249516,3764862,M,SY,22.1,62.04,20.31,5.99,5.88,5.15,8.69,75.28096374,23,-0.952719165,2.130674545,0.965455751,-5.787579418
77,2661-31767,cz31,CZ,2014,11,249594,3764747,M,SY,20.3,58.76,19.45,5.91,6.14,5.39,8.74,79.1463008,23,-1.17343108,2.187137242,-1.211916191,0.613298364
78,2661-31768,cz32,CZ,2014,11,249601,3764667,M,SY,23.5,59.94,19.95,6.51,6.5,5.08,9.15,83.2184332,23,-0.952719165,2.130674545,0.963214846,2.152499566
79,2661-31769,cz33,CZ,2014,11,249632,3764985,M,ASY,21.2,60.89,19.6,6.59,6.38,5,8.92,79.72545341,23,-0.952719165,2.130674545,0.055419282,-0.283356002
80,2661-31770,cz33,CZ,2014,11,249632,3764985,F,ASY,18.8,57.91,19.52,5.33,6.21,5.26,9.89,89.09423248,23,-0.952719165,2.130674545,-2.339746765,11.87458413
81,2661-31771,cz28,CZ,2014,11,249508,3765120,M,SY,20.4,58.58,19.77,6.34,5.93,4.92,9.24,78.73930747,23,-0.952719165,2.130674545,-1.223013981,0.219228364
83,2661-31773,cz30,CZ,2014,11,249423,3765057,M,ASY,20.1,60.7,18.93,6.9,6.24,4.88,9.36,81.74675412,23,0.321262062,1.547706155,-0.613667117,2.517093083
85,2661-31786,cz149,CZ,2014,11,252725,3764235,M,ASY,23,61.02,20.33,6.41,6.38,5.11,9.35,84.37650279,23.1,0.599113259,0.01533023,1.08433014,3.169530892
86,2661-31787,cz141,CZ,2014,11,252165,3764348,M,SY,19.5,60.16,19.35,7.63,6.3,5.12,8.28,74.26536538,23.1,1.064695477,1.097890805,-1.13771751,-4.354041117
87,2661-31788,cz142,CZ,2014,11,252105,3764302,M,ASY,22.3,61.95,19.47,7.63,5.91,4.93,8.94,76.11262186,23.4,-0.342030345,1.934667499,1.041699694,-5.044707058
88,2661-31789,cz130,CZ,2014,11,249705,3761962,M,ASY,21.2,61.16,19.65,6.2,6.51,4.77,9.28,82.21422311,22.9,0.359870113,0.782991762,0.153858803,2.090781278
90,2661-31791,cz144,CZ,2014,11,251379,3764513,M,SY,20.7,59.37,20.59,6.97,6.4,5.61,9.17,86.49723491,23.4,-0.33471889,2.23226462,-0.771401557,7.451254984
