ss,bill_sa,mass,wing,billd,billw,billl,tarsus,time,obs,island
130,79.8,21.6,62.6,6.24,5.31,8.8,17.99,1.034367701,115,CZ
130,79.8,21.6,62.6,6.24,5.31,8.8,17.99,1.334668001,115,CZ
130,79.8,21.6,62.6,6.24,5.31,8.8,17.99,2.035368702,115,CZ
130,79.8,21.6,62.6,6.24,5.31,8.8,17.99,2.268935602,115,CZ
130,79.8,21.6,62.6,6.24,5.31,8.8,17.99,1.901901902,115,CZ
130,79.8,21.6,62.6,6.24,5.31,8.8,17.99,1.301301301,115,CZ
130,79.8,21.6,62.6,6.24,5.31,8.8,17.99,1.101101101,115,CZ
130,79.8,21.6,62.6,6.24,5.31,8.8,17.99,2.102102102,115,CZ
130,79.8,21.6,62.6,6.24,5.31,8.8,17.99,1.368034701,115,CZ
130,79.8,21.6,62.6,6.24,5.31,8.8,17.99,1.301301301,115,CZ
130,79.8,21.6,62.6,6.24,5.31,8.8,17.99,1.634968302,115,CZ
130,79.8,21.6,62.6,6.24,5.31,8.8,17.99,1.134467801,115,CZ
130,79.8,21.6,62.6,6.24,5.31,8.8,17.99,1.167834501,115,CZ
130,79.8,21.6,62.6,6.24,5.31,8.8,17.99,1.568234902,115,CZ
130,79.8,21.6,62.6,6.24,5.31,8.8,17.99,2.569235903,115,CZ
130,79.8,21.6,62.6,6.24,5.31,8.8,17.99,1.701701702,115,CZ
130,79.8,21.6,62.6,6.24,5.31,8.8,17.99,2.535869203,115,CZ
130,79.8,21.6,62.6,6.24,5.31,8.8,17.99,1.334668001,115,CZ
130,79.8,21.6,62.6,6.24,5.31,8.8,17.99,1.468134801,115,CZ
130,79.8,21.6,62.6,6.24,5.31,8.8,17.99,1.167834501,115,CZ
130,79.8,21.6,62.6,6.24,5.31,8.8,17.99,2.969636303,115,CZ
130,79.8,21.6,62.6,6.24,5.31,8.8,17.99,0.667334001,115,CZ
130,79.8,21.6,62.6,6.24,5.31,8.8,17.99,1.134467801,115,CZ
130,79.8,21.6,62.6,6.24,5.31,8.8,17.99,3.670337004,115,CZ
130,79.8,21.6,62.6,6.24,5.31,8.8,17.99,1.234567901,115,CZ
130,79.8,21.6,62.6,6.24,5.31,8.8,17.99,2.836169503,115,CZ
130,79.8,21.6,62.6,6.24,5.31,8.8,17.99,1.301301301,115,CZ
130,79.8,21.6,62.6,6.24,5.31,8.8,17.99,1.668335002,115,CZ
130,79.8,21.6,62.6,6.24,5.31,8.8,17.99,1.134467801,115,CZ
130,79.8,21.6,62.6,6.24,5.31,8.8,17.99,0.967634301,115,CZ
130,79.8,21.6,62.6,6.24,5.31,8.8,17.99,1.067734401,115,CZ
130,79.8,21.6,62.6,6.24,5.31,8.8,17.99,2.235568902,115,CZ
130,79.8,21.6,62.6,6.24,5.31,8.8,17.99,1.601601602,115,CZ
130,79.8,21.6,62.6,6.24,5.31,8.8,17.99,3.036369703,115,CZ
130,79.8,21.6,62.6,6.24,5.31,8.8,17.99,2.135468802,115,CZ
130,79.8,21.6,62.6,6.24,5.31,8.8,17.99,0.734067401,115,CZ
130,79.8,21.6,62.6,6.24,5.31,8.8,17.99,1.201201201,115,CZ
130,79.8,21.6,62.6,6.24,5.31,8.8,17.99,1.768435102,115,CZ
130,79.8,21.6,62.6,6.24,5.31,8.8,17.99,1.868535202,115,CZ
130,79.8,21.6,62.6,6.24,5.31,8.8,17.99,1.601601602,115,CZ
130,79.8,21.6,62.6,6.24,5.31,8.8,17.99,1.568234902,115,CZ
130,79.8,21.6,62.6,6.24,5.31,8.8,17.99,1.801801802,115,CZ
130,79.8,21.6,62.6,6.24,5.31,8.8,17.99,1.901901902,115,CZ
130,79.8,21.6,62.6,6.24,5.31,8.8,17.99,3.236569903,115,CZ
130,79.8,21.6,62.6,6.24,5.31,8.8,17.99,1.835168502,115,CZ
130,79.8,21.6,62.6,6.24,5.31,8.8,17.99,2.736069403,115,CZ
130,79.8,21.6,62.6,6.24,5.31,8.8,17.99,1.601601602,115,CZ
130,79.8,21.6,62.6,6.24,5.31,8.8,17.99,3.636970304,115,CZ
130,79.8,21.6,62.6,6.24,5.31,8.8,17.99,1.601601602,115,CZ
130,79.8,21.6,62.6,6.24,5.31,8.8,17.99,2.435769102,115,CZ
130,79.8,21.6,62.6,6.24,5.31,8.8,17.99,1.568234902,115,CZ
130,79.8,21.6,62.6,6.24,5.31,8.8,17.99,1.434768101,115,CZ
130,79.8,21.6,62.6,6.24,5.31,8.8,17.99,1.735068402,115,CZ
130,79.8,21.6,62.6,6.24,5.31,8.8,17.99,1.568234902,115,CZ
130,79.8,21.6,62.6,6.24,5.31,8.8,17.99,1.835168502,115,CZ
130,79.8,21.6,62.6,6.24,5.31,8.8,17.99,2.669336003,115,CZ
130,79.8,21.6,62.6,6.24,5.31,8.8,17.99,1.801801802,115,CZ
130,79.8,21.6,62.6,6.24,5.31,8.8,17.99,0.934267601,115,CZ
130,79.8,21.6,62.6,6.24,5.31,8.8,17.99,2.769436103,115,CZ
130,79.8,21.6,62.6,6.24,5.31,8.8,17.99,2.202202202,115,CZ
130,79.8,21.6,62.6,6.24,5.31,8.8,17.99,2.202202202,115,CZ
130,79.8,21.6,62.6,6.24,5.31,8.8,17.99,1.935268602,115,CZ
130,79.8,21.6,62.6,6.24,5.31,8.8,17.99,1.401401401,115,CZ
130,79.8,21.6,62.6,6.24,5.31,8.8,17.99,1.901901902,115,CZ
130,79.8,21.6,62.6,6.24,5.31,8.8,17.99,2.435769102,115,CZ
130,79.8,21.6,62.6,6.24,5.31,8.8,17.99,0.4337671,115,CZ
130,79.8,21.6,62.6,6.24,5.31,8.8,17.99,3.603603604,115,CZ
130,79.8,21.6,62.6,6.24,5.31,8.8,17.99,2.268935602,115,CZ
130,79.8,21.6,62.6,6.24,5.31,8.8,17.99,2.035368702,115,CZ
130,79.8,21.6,62.6,6.24,5.31,8.8,17.99,2.435769102,115,CZ
130,79.8,21.6,62.6,6.24,5.31,8.8,17.99,1.301301301,115,CZ
130,79.8,21.6,62.6,6.24,5.31,8.8,17.99,1.501501502,115,CZ
130,79.8,21.6,62.6,6.24,5.31,8.8,17.99,1.401401401,115,CZ
130,79.8,21.6,62.6,6.24,5.31,8.8,17.99,1.267934601,115,CZ
130,79.8,21.6,62.6,6.24,5.31,8.8,17.99,0.767434101,115,CZ
130,79.8,21.6,62.6,6.24,5.31,8.8,17.99,2.202202202,115,CZ
130,79.8,21.6,62.6,6.24,5.31,8.8,17.99,1.668335002,115,CZ
130,79.8,21.6,62.6,6.24,5.31,8.8,17.99,1.134467801,115,CZ
130,79.8,21.6,62.6,6.24,5.31,8.8,17.99,1.167834501,115,CZ
130,79.8,21.6,62.6,6.24,5.31,8.8,17.99,2.469135802,115,CZ
130,79.8,21.6,62.6,6.24,5.31,8.8,17.99,1.868535202,115,CZ
130,79.8,21.6,62.6,6.24,5.31,8.8,17.99,1.601601602,115,CZ
130,79.8,21.6,62.6,6.24,5.31,8.8,17.99,1.267934601,115,CZ
130,79.8,21.6,62.6,6.24,5.31,8.8,17.99,2.202202202,115,CZ
130,79.8,21.6,62.6,6.24,5.31,8.8,17.99,2.769436103,115,CZ
130,79.8,21.6,62.6,6.24,5.31,8.8,17.99,1.901901902,115,CZ
130,79.8,21.6,62.6,6.24,5.31,8.8,17.99,1.968635302,115,CZ
130,79.8,21.6,62.6,6.24,5.31,8.8,17.99,1.701701702,115,CZ
130,79.8,21.6,62.6,6.24,5.31,8.8,17.99,3.370036703,115,CZ
130,79.8,21.6,62.6,6.24,5.31,8.8,17.99,1.768435102,115,CZ
130,79.8,21.6,62.6,6.24,5.31,8.8,17.99,3.837170504,115,CZ
130,79.8,21.6,62.6,6.24,5.31,8.8,17.99,2.602602603,115,CZ
130,79.8,21.6,62.6,6.24,5.31,8.8,17.99,1.735068402,115,CZ
130,79.8,21.6,62.6,6.24,5.31,8.8,17.99,3.269936603,115,CZ
130,79.8,21.6,62.6,6.24,5.31,8.8,17.99,2.402402402,115,CZ
130,79.8,21.6,62.6,6.24,5.31,8.8,17.99,1.634968302,115,CZ
130,79.8,21.6,62.6,6.24,5.31,8.8,17.99,2.002002002,115,CZ
130,79.8,21.6,62.6,6.24,5.31,8.8,17.99,2.869536203,115,CZ
130,79.8,21.6,62.6,6.24,5.31,8.8,17.99,1.568234902,115,CZ
130,79.8,21.6,62.6,6.24,5.31,8.8,17.99,1.901901902,115,CZ
130,79.8,21.6,62.6,6.24,5.31,8.8,17.99,1.801801802,115,CZ
130,79.8,21.6,62.6,6.24,5.31,8.8,17.99,1.101101101,115,CZ
130,79.8,21.6,62.6,6.24,5.31,8.8,17.99,1.501501502,115,CZ
130,79.8,21.6,62.6,6.24,5.31,8.8,17.99,1.835168502,115,CZ
130,79.8,21.6,62.6,6.24,5.31,8.8,17.99,1.468134801,115,CZ
130,79.8,21.6,62.6,6.24,5.31,8.8,17.99,1.334668001,115,CZ
130,79.8,21.6,62.6,6.24,5.31,8.8,17.99,2.302302302,115,CZ
130,79.8,21.6,62.6,6.24,5.31,8.8,17.99,2.736069403,115,CZ
130,79.8,21.6,62.6,6.24,5.31,8.8,17.99,2.068735402,115,CZ
130,79.8,21.6,62.6,6.24,5.31,8.8,17.99,1.301301301,115,CZ
130,79.8,21.6,62.6,6.24,5.31,8.8,17.99,1.334668001,115,CZ
130,79.8,21.6,62.6,6.24,5.31,8.8,17.99,1.534868202,115,CZ
130,79.8,21.6,62.6,6.24,5.31,8.8,17.99,1.701701702,115,CZ
130,79.8,21.6,62.6,6.24,5.31,8.8,17.99,1.935268602,115,CZ
130,79.8,21.6,62.6,6.24,5.31,8.8,17.99,1.568234902,115,CZ
174,74,19.8,60.56,5.82,4.88,8.8,18.83,2.402402402,163,CZ
174,74,19.8,60.56,5.82,4.88,8.8,18.83,1.701701702,163,CZ
174,74,19.8,60.56,5.82,4.88,8.8,18.83,2.135468802,163,CZ
174,74,19.8,60.56,5.82,4.88,8.8,18.83,1.201201201,163,CZ
174,74,19.8,60.56,5.82,4.88,8.8,18.83,1.067734401,163,CZ
174,74,19.8,60.56,5.82,4.88,8.8,18.83,1.201201201,163,CZ
174,74,19.8,60.56,5.82,4.88,8.8,18.83,1.601601602,163,CZ
174,74,19.8,60.56,5.82,4.88,8.8,18.83,0.767434101,163,CZ
174,74,19.8,60.56,5.82,4.88,8.8,18.83,1.835168502,163,CZ
174,74,19.8,60.56,5.82,4.88,8.8,18.83,2.235568902,163,CZ
174,74,19.8,60.56,5.82,4.88,8.8,18.83,1.935268602,163,CZ
174,74,19.8,60.56,5.82,4.88,8.8,18.83,1.801801802,163,CZ
174,74,19.8,60.56,5.82,4.88,8.8,18.83,0.4004004,163,CZ
174,74,19.8,60.56,5.82,4.88,8.8,18.83,2.235568902,163,CZ
174,74,19.8,60.56,5.82,4.88,8.8,18.83,0.567233901,163,CZ
174,74,19.8,60.56,5.82,4.88,8.8,18.83,2.335669002,163,CZ
174,74,19.8,60.56,5.82,4.88,8.8,18.83,2.102102102,163,CZ
174,74,19.8,60.56,5.82,4.88,8.8,18.83,0.967634301,163,CZ
174,74,19.8,60.56,5.82,4.88,8.8,18.83,1.968635302,163,CZ
174,74,19.8,60.56,5.82,4.88,8.8,18.83,1.735068402,163,CZ
174,74,19.8,60.56,5.82,4.88,8.8,18.83,1.334668001,163,CZ
174,74,19.8,60.56,5.82,4.88,8.8,18.83,0.900900901,163,CZ
174,74,19.8,60.56,5.82,4.88,8.8,18.83,0.633967301,163,CZ
174,74,19.8,60.56,5.82,4.88,8.8,18.83,1.134467801,163,CZ
174,74,19.8,60.56,5.82,4.88,8.8,18.83,1.267934601,163,CZ
174,74,19.8,60.56,5.82,4.88,8.8,18.83,1.368034701,163,CZ
174,74,19.8,60.56,5.82,4.88,8.8,18.83,0.834167501,163,CZ
174,74,19.8,60.56,5.82,4.88,8.8,18.83,1.201201201,163,CZ
174,74,19.8,60.56,5.82,4.88,8.8,18.83,1.267934601,163,CZ
174,74,19.8,60.56,5.82,4.88,8.8,18.83,4.170837504,163,CZ
174,74,19.8,60.56,5.82,4.88,8.8,18.83,2.369035702,163,CZ
174,74,19.8,60.56,5.82,4.88,8.8,18.83,1.868535202,163,CZ
174,74,19.8,60.56,5.82,4.88,8.8,18.83,1.368034701,163,CZ
174,74,19.8,60.56,5.82,4.88,8.8,18.83,2.469135802,163,CZ
174,74,19.8,60.56,5.82,4.88,8.8,18.83,1.935268602,163,CZ
174,74,19.8,60.56,5.82,4.88,8.8,18.83,1.668335002,163,CZ
174,74,19.8,60.56,5.82,4.88,8.8,18.83,2.936269603,163,CZ
174,74,19.8,60.56,5.82,4.88,8.8,18.83,1.301301301,163,CZ
174,74,19.8,60.56,5.82,4.88,8.8,18.83,1.668335002,163,CZ
174,74,19.8,60.56,5.82,4.88,8.8,18.83,3.336670003,163,CZ
174,74,19.8,60.56,5.82,4.88,8.8,18.83,1.601601602,163,CZ
174,74,19.8,60.56,5.82,4.88,8.8,18.83,3.436770103,163,CZ
174,74,19.8,60.56,5.82,4.88,8.8,18.83,2.869536203,163,CZ
174,74,19.8,60.56,5.82,4.88,8.8,18.83,1.468134801,163,CZ
174,74,19.8,60.56,5.82,4.88,8.8,18.83,1.868535202,163,CZ
174,74,19.8,60.56,5.82,4.88,8.8,18.83,1.167834501,163,CZ
174,74,19.8,60.56,5.82,4.88,8.8,18.83,4.004004004,163,CZ
174,74,19.8,60.56,5.82,4.88,8.8,18.83,2.869536203,163,CZ
174,74,19.8,60.56,5.82,4.88,8.8,18.83,2.168835502,163,CZ
174,74,19.8,60.56,5.82,4.88,8.8,18.83,2.068735402,163,CZ
174,74,19.8,60.56,5.82,4.88,8.8,18.83,0.867534201,163,CZ
174,74,19.8,60.56,5.82,4.88,8.8,18.83,1.301301301,163,CZ
174,74,19.8,60.56,5.82,4.88,8.8,18.83,1.001001001,163,CZ
174,74,19.8,60.56,5.82,4.88,8.8,18.83,1.835168502,163,CZ
174,74,19.8,60.56,5.82,4.88,8.8,18.83,1.534868202,163,CZ
174,74,19.8,60.56,5.82,4.88,8.8,18.83,2.802802803,163,CZ
174,74,19.8,60.56,5.82,4.88,8.8,18.83,1.701701702,163,CZ
174,74,19.8,60.56,5.82,4.88,8.8,18.83,2.669336003,163,CZ
174,74,19.8,60.56,5.82,4.88,8.8,18.83,1.768435102,163,CZ
174,74,19.8,60.56,5.82,4.88,8.8,18.83,1.901901902,163,CZ
174,74,19.8,60.56,5.82,4.88,8.8,18.83,1.468134801,163,CZ
