alum,ss_id,sex,age,island,mass,tarsus,bill_d,bill_w,bill_l,bill_sa,wing,bite1,bite1_time,bite2,bite2_time,bite3,bite3_time,bite_max,time_max,bite_max_num
1781-33102,35,M,ASY,CZ,21.3,18.06,6.02,4.98,8.81,76.11293601,56.88,4.8,842,4.9,848,5.1,854,5.1,854,3
2291-46019,34,U,ASY,CZ,21.8,20.39,5.89,4.86,8.68,73.28550263,62.34,6,742,5,747,6.5,751,6.5,751,3
2661-31702,1,U,SY,MI,21.4,20.55,5.34,4.51,8.03,62.12146043,61.32,2.4,821,3.5,830,5.9,834,5.9,834,3
2661-31703,2,U,SY,MI,18.2,19.2,5.83,4.92,8.81,74.38309656,55.11,3.8,828,5.1,833,3.9,838,5.1,833,2
2661-31704,3,U,ASY,MI,20.6,19.35,5.4,4.75,8.63,68.79655942,60.32,6.6,916,6.5,924,5.8,930,6.6,916,1
2661-31705,4,U,SY,MI,20.7,19.09,5.61,4.85,8.47,69.58329276,61.22,5,919,5.3,925,7,931,7,931,3
2661-31706,5,U,ASY,MI,19.2,18.78,5.77,5.19,8.5,73.1676929,57.62,6.9,921,6.1,927,6.3,933,6.9,921,1
2661-31707,6,U,SY,MI,21.4,19.62,5.61,4.32,8.1,63.17193048,63.27,6.5,1045,9,1050,7.6,1054,9,1050,2
2661-31708,7,U,ASY,MI,20.5,18.5,5.91,4.83,8.69,73.30168183,59.5,8,741,6.5,748,5.9,756,8,741,1
2661-31709,8,U,ASY,MI,22.2,20.35,5.52,5,8.62,71.22179041,63.67,5.4,812,5.3,819,5.4,821,5.4,821,1
2661-31710,9,U,SY,MI,19.4,18.18,5.76,4.99,8.07,68.13525417,57.68,4.3,827,5.3,831,5.9,834,5.9,834,3
2661-31711,10,U,ASY,MI,19,19.46,5.46,4.85,8.23,66.64205518,57.61,5.6,841,5.8,846,5.8,850,5.8,850,2
2661-31712,11,U,ASY,MI,24.6,20.83,5.61,4.65,8.46,68.17224642,61.05,6.4,906,8.8,910,4.6,916,8.8,910,2
2661-31713,12,U,ASY,MI,20.4,20.16,5.46,4.76,8.57,68.7894123,59.14,5.6,924,6.5,928,5.4,932,6.5,928,2
2661-31714,13,U,ASY,MI,19.2,20.56,5.53,5.07,8.97,74.67722817,55.45,7.3,1107,5.8,1112,5.3,1115,7.3,1107,1
2661-31715,14,U,SY,MI,21.4,19.34,5.7,4.9,8.62,71.76340099,58.62,8.9,1105,7.5,1110,7.5,1114,8.9,1105,1
2661-31716,15,U,ASY,MI,21.9,20.34,5.7,4.49,9.11,72.90921837,59.97,2.4,1129,3.9,1134,5.4,1138,5.4,1138,3
2661-31717,16,U,ASY,MI,19.8,18.69,5.31,4.44,8.27,63.32861741,59.32,2.1,1127,4.4,1132,4.5,1139,4.5,1139,3
