island,ss,bill_d,bod,bite_max
CZ,35,6.02,-1.999590754,5.1
CZ,34,5.89,1.145916132,6.5
MI,1,5.34,1.084355237,5.9
MI,2,5.83,-1.344331099,5.1
MI,3,5.4,-0.175096929,6.6
MI,4,5.61,-0.225786238,7
MI,5,5.77,-1.216062548,6.9
MI,6,5.61,0.6504946,9
MI,7,5.91,-1.08942808,8
MI,8,5.52,1.375207605,5.4
MI,9,5.76,-1.734361004,5.9
MI,10,5.46,-0.617116912,5.8
MI,11,5.61,1.278075197,8.8
MI,12,5.46,0.305929268,6.5
MI,13,5.53,-0.074807782,7.3
MI,14,5.7,-0.522196654,8.9
MI,15,5.7,0.630152069,5.4
MI,16,5.31,-0.957335678,4.5
MI,18,5.16,-0.132533515,7.3
MI,19,5.34,-0.405789044,7.6
MI,20,5.28,-1.140139771,8.5
MI,21,5.37,-0.127575672,5.5
MI,22,5.29,0.753585033,8.4
MI,23,5.24,-0.418616958,10.4
MI,24,5.56,0.07248039,5.8
MI,25,5.89,0.399760057,3
MI,26,5.63,-0.319094795,6.9
MI,27,5.65,-3.284321397,6.8
MI,29,5.54,1.212768184,7
MI,30,5.72,-0.189425601,6.9
CZ,31,5.85,0.70300691,7.3
CZ,32,6.2,0.288766101,8.1
CZ,33,6.15,1.232232546,8.3
CZ,36,6.26,-0.689338095,7.1
CZ,37,6.39,1.362635271,7.9
CZ,38,6.29,1.86267002,6.3
CZ,39,6.34,1.025840138,8.5
CZ,40,6.46,1.22918675,4.6
CZ,41,6.5,0.911300052,8.6
CZ,41.5,6.01,-1.339384327,5.5
CZ,42,5.96,-0.875399041,5.5
CZ,43,6.29,0.961033458,6.1
CZ,44,5.97,0.608775903,5.4
CZ,45,5.72,1.090958233,6.8
CZ,46,6.29,1.021438221,6.9
CZ,47,5.98,-1.470531896,5.3
CZ,48,6.36,1.651153234,6.6
CZ,49,6.2,0.526550233,4
CZ,50,6.43,-0.55206548,5.6
CZ,51,6.12,-0.148229377,5.8
CZ,52,6.04,0.764178657,5.6
CZ,53,6.44,0.134330319,6
CZ,54,6.01,-1.747289033,5.6
CZ,56,5.92,0.354495472,8.9
CZ,57,6.12,-1.116051122,7.1
CZ,58,5.95,-0.725376488,7.1
