island,island_code,month,year,var_wsmean_ms,var_gustmax_ms,var_tmean_c,var_tdailymax_c,var_tmax_c,var_tdailymin_c,var_tmin_c,var_rhmean_perc,var_rhmax_perc,var_rhmin_perc,var_preciptot_inch
San Miguel,mi,Jan,2007,8.53,35.24,10.43,13.81,24.5,8.08,2.3,71.87,100,0,0
San Miguel,mi,Feb,2007,9.18,26.34,11.3,14.45,25.4,9,5.2,85.58,100,0,0
San Miguel,mi,Mar,2007,9.29,32.31,10.71,13.89,18.8,8.68,7.4,88.92,100,0,0
San Miguel,mi,Apr,2007,null,null,null,null,null,null,null,null,null,null,null
San Miguel,mi,May,2007,11.08,30.46,11.42,15.03,29.3,8.21,-27.79,77.19,100,0,0
San Miguel,mi,Jun,2007,12.2,26.24,12.57,14.52,17,11.48,11,31.82,100,0,0
San Miguel,mi,Jul,2007,8.22,13.07,14.39,21.1,21.1,12.3,12.3,99.93,100,99.4,0
San Miguel,mi,Aug,2007,10.74,30.35,13.9,17.04,22.7,12.13,8.9,96.5,100,0,0
San Miguel,mi,Sep,2007,9.93,29.99,14.92,18.34,31.1,12.63,10.6,90.32,100,0,0
San Miguel,mi,Oct,2007,9.99,33.6,14.63,18.33,31.5,11.69,3.7,80.08,100,0,0
San Miguel,mi,Nov,2007,7.12,28.4,13.16,16.61,28.8,10.61,8.9,81.86,100,0,0
San Miguel,mi,Dec,2007,10.13,33.6,10.09,12.81,18.1,8.21,5.4,85.46,100,0,0
San Miguel,mi,Jan,2008,9.45,35.75,10.3,12.77,21.3,8.27,4.9,85.33,100,0,0
San Miguel,mi,Feb,2008,9.54,30.05,10.39,13.36,23.8,8.59,6.1,87.22,100,0,0.05
San Miguel,mi,Mar,2008,13.82,30.51,9.96,12.44,19.4,8.46,5.3,91.31,100,0,0
San Miguel,mi,Apr,2008,13.77,32.92,10.46,13.53,29,7.96,5.9,85.82,100,0,0
San Miguel,mi,May,2008,11.98,35.34,11.18,14.81,28.8,8.83,7.2,90.38,100,0,0
San Miguel,mi,Jun,2008,11.92,31.02,13.02,16.67,37.2,10.82,8.2,88.68,100,0,0
San Miguel,mi,Jul,2008,9.93,30.3,13.54,16.32,23.4,11.83,10.5,95.76,100,0,0
San Miguel,mi,Aug,2008,7.41,22.12,14.21,16.81,23.4,11.4,10.2,90.06,100,0,0
