Nestling_ID;Nest_ID;rTL_gen_father;rTL_soc_father;rTL_mother;ID genetic father;Year
1998.004;1998.R01;1,557214114;1,194230561;0,730306646;1998.R60.M;1998
1998.037;1998.R07;1,351748386;1,293005356;1,483797513;1998.R08.M;1998
1998.06;1998.R10;0,992659118;1,06812476;1,072373927;1998.R11.M;1998
1998.079;1998.R13;1,003966028;1,143000852;0,771960962;1998.R12.M;1998
1998.081;1998.R13;1,459577543;1,143000852;0,771960962;1998.R09.M;1998
1998.098;1998.R15;1,086159939;1,1977074;1,261969006;1998.R16.M;1998
1998.115;1998.R17;1,086159939;1,62654329;1,36317132;1998.R16.M;1998
1998.128;1998.R19;1,279065374;0,989401106;1,596131455;1998.R62.M;1998
1998.129;1998.R19;1,405921466;0,989401106;1,596131455;1998.R20.M;1998
1998.134;1998.R20;1,70109318;1,405921466;1,483651942;1998.R22.M;1998
1998.166;1998.R24;1,368196968;1,019833101;0,971561266;1998.R27.M;1998
1998.178;1998.R27;1,045217853;1,368196968;1,604185667;1998.R21.M;1998
1998.189;1998.R28;1,019833101;1,247639013;0,98682335;1998.R24.M;1998
1998.195;1998.R31;0,902224181;1,41794701;1,182732876;1998.R28.M;1998
1998.2;1998.R32;1,504040578;1,316494511;1,613058648;1998.R33.M;1998
1998.211;1998.R34;1,422342788;1,039664021;0,885778828;1998.R33.M;1998
1998.218;1998.R36;0,749798723;1,198290269;1,711999444;1998.R37.M;1998
1998.243;1998.R41;1,146216079;0,926289864;0,99892939;1998.R58.M;1998
1998.248;1998.R42;1,146216079;0,955702508;1,127294293;1998.R58.M;1998
1998.25;1998.R43;0,955702508;0,768606643;0,777965602;1998.R42.M;1998
1998.316;1998.R56;0,801114344;1,433957477;1,23347174;1998.R58.M;1998
1998.346;1998.R62;1,165574515;1,27992866;1,880878056;1998.R69.M;1998
1998.356;1998.R64;1,123153526;1,175770211;0,968000332;1998.R24.M;1998
1998.384;1998.R69;1,133909701;1,165574515;1,469650234;1998.R19.M;1998
1998.392;1998.R70;1,14211786;0,611056602;0,92989104;1998.R54.M;1998
1999.012;1999.R02;0,836216593;0,847624879;0,727707204;1999.R07.M;1999
1999.035;1999.R12;1,155353871;1,004068577;0,772039813;1999.R06.M;1999
1999.062;1999.R17;0,670688883;0,773461656;0,790949439;1999.R16.M;1999
1999.068;1999.R19;0,782495775;0,819073207;0,843041648;1999.R22.M;1999
1999.069;1999.R19;0,918704411;0,819073207;0,843041648;1999.R20.M;1999
1999.074;1999.R20;0,71895575;0,907834134;0,539072103;1999.R22.M;1999
1999.075;1999.R20;0,629002121;0,907834134;0,539072103;1999.R19.M;1999
1999.185;1999.R44;0,679180442;0,978930315;1,428836211;1999.R43.M;1999
1999.202;1999.R46;0,978930315;1,049277165;1,153791225;1999.R44.M;1999
1999.212;1999.R47;0,978930315;0,888706355;0,989886588;1999.R44.M;1999
1999.228;1999.R49;0,815197473;NA;1,3058365;1999.R47.M;1999
1999.267;1999.R57;1,396565195;0,876476541;1,344967014;1999.R56.M;1999
1999.358;1999.R75;1,004750304;1,200963515;0,682013397;1999.R77.M;1999
1999.376;1999.R78;1,247766452;NA;1,239700932;1999.R75.M;1999
1999.395;1999.R80;0,836216593;0,803371089;1,02429206;1999.R07.M;1999
