Nest_ID;Nest No_continuous;Year;rTL_male;Plate no_rTL_male;rTL_female;Plate no_rTL_female;rTL2_male;Plate no_rTL2_male;Laying date;Standardized laying date;Clutch size;#WPO_incl secondary nests;#EPO;Total fertilisation success;Male mass;Male wing lenght;Male tarsus length;Male chestnut band;Male age;Male SH;Male brightness;Male hue;Male chroma;Female mass;Female wing length;Female tarsus length;Female colour score;Female age;Female SH
1998.R01;1;1998;1,19423;3;0,73031;3;NA;NA;38;0,45;6;3;0;3;18,4;75,5;31,4;NA;1;1,02;95,2;359,7;0,976;18,4;71,5;29,2;4;1;0,848
1998.R03;3;1998;0,63647;4;0,60505;4;NA;NA;41;1,27;5;4;0;4;15,9;78;30,5;NA;1;0,95;96,9;364,9;1,004;18,7;72;29,2;2;2;1,044
1998.R05;5;1998;NA;11;1,47563;11;NA;NA;35;-0,36;7;2;1;3;19,1;75;32,1;NA;1;0,77;105,6;371,4;1,07;20,3;74;29,5;2;1;1,136
1998.R07;7;1998;1,29301;11;1,4838;11;NA;NA;40;1;6;2;0;2;16,5;74;28,2;NA;2;1,02;111;370,6;1,341;16,6;71;29,7;2;2;1,136
1998.R08;8;1998;1,35175;11;NA;NA;NA;NA;31;-1,44;7;6;8;14;17,4;77;29;NA;2;1,16;83,3;362,4;1,298;19,8;73;29,2;1,5;2;0,649
1998.R09;9;1998;1,45958;13;NA;NA;NA;NA;34;-0,63;6;5;1;6;15,5;76;31;NA;1;0,77;83,1;356,3;1,123;16,3;71,5;27,8;3;1;0,848
1998.R10;10;1998;1,06812;4;1,07237;4;NA;NA;43;1,81;NA;1;0;1;17,3;75;31,2;NA;1;1,07;111;365,6;1,242;17,2;70;28,8;4;1;0,848
1998.R11;11;1998;0,99266;4;NA;NA;NA;NA;33;-0,9;6;5;2;7;16,5;75,5;29,1;NA;2;1,02;104,2;375,4;1,059;18,9;70;30,5;4;2;1,136
1998.R12;12;1998;1,00397;13;NA;NA;NA;NA;35;-0,36;6;4;5;9;17,1;74;29,7;NA;2;1,19;95,8;378,2;1,273;20,3;73;27,8;5;2;0,914
1998.R13;13;1998;1,143;13;0,77196;13;NA;NA;30;-1,72;7;5;0;5;18,3;76;30;NA;2;0,9;99,8;372,6;1,074;18;72;29,5;3,5;2;0,848
