Nestling_ID;Nest_ID;rTL;rTL_gen_father;rTL_sos_father;rTL_mother;ID_genetic father;Year;Paternity;Day of bleeding;Mass at bleeding
(98)3;1998.R01;2,347107907;1,194230561;1,194230561;0,730306646;1998.R01.M;1998;1;5;6,25
(98)4;1998.R01;2,900423079;1,557214114;1,194230561;0,730306646;1998.R60.M;1998;2;5;3,55
(98)5;1998.R01;2,907737612;1,194230561;1,194230561;0,730306646;1998.R01.M;1998;1;5;5,55
(98)6;1998.R01;1,321975144;1,557214114;1,194230561;0,730306646;1998.R60.M;1998;2;5;5,15
(98)7;1998.R01;1,327234167;1,557214114;1,194230561;0,730306646;1998.R60.M;1998;2;5;5,65
(98)8;1998.R01;1,080074956;1,194230561;1,194230561;0,730306646;1998.R01.M;1998;1;5;5,15
(98)13;1998.R03;1,084274008;0,636471254;0,636471254;0,605054799;1998.R03.M;1998;1;6;11,7
(98)14;1998.R03;1,602009514;NA;0,636471254;0,605054799;1998.R05.M;1998;2;6;10,9
(98)15;1998.R03;0,985484679;0,636471254;0,636471254;0,605054799;1998.R03.M;1998;1;6;10,7
(98)16;1998.R03;0,817487307;0,636471254;0,636471254;0,605054799;1998.R03.M;1998;1;6;8,25
(98)17;1998.R03;0,8757241;0,636471254;0,636471254;0,605054799;1998.R03.M;1998;1;6;7,65
(98)21;1998.R05;2,096432169;1,351748386;NA;1,47562962;1998.R08.M;1998;2;2;4,6
(98)22;1998.R05;1,665081605;1,351748386;NA;1,47562962;1998.R08.M;1998;2;2;3,8
(98)23;1998.R05;1,750528536;NA;NA;1,47562962;1998.R05.M;1998;1;2;4,7
(98)24;1998.R05;2,537063442;1,351748386;NA;1,47562962;1998.R08.M;1998;2;2;3,5
(98)25;1998.R05;2,007082706;NA;NA;1,47562962;1998.R05.M;1998;1;2;3,9
(98)36;1998.R07;0,920573277;1,293005356;1,293005356;1,483797513;1998.R07.M;1998;1;5;10,6
(98)37;1998.R07;0,935302124;1,351748386;1,293005356;1,483797513;1998.R08.M;1998;2;5;9,85
(98)38;1998.R07;1,445944892;1,351748386;1,293005356;1,483797513;1998.R08.M;1998;2;5;7,8
(98)39;1998.R07;0,893877784;1,351748386;1,293005356;1,483797513;1998.R08.M;1998;2;5;9,7
(98)40;1998.R07;0,948155229;1,351748386;1,293005356;1,483797513;1998.R08.M;1998;2;5;10
